Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2015-08-14,20:30 (13:30),Bayern Munich,5–0,Hamburger SV,75000,Allianz Arena,Bastian Dankert,Match Report,
Regular Season,1,Sat,2015-08-15,15:30 (08:30),Darmstadt 98,2–2,Hannover 96,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Brych,Match Report,
Regular Season,1,Sat,2015-08-15,15:30 (08:30),Augsburg,0–1,Hertha BSC,28130,WWK Arena,Tobias Welz,Match Report,
Regular Season,1,Sat,2015-08-15,15:30 (08:30),Bayer,2–1,Hoffenheim,27125,BayArena,Robert Hartmann,Match Report,
Regular Season,1,Sat,2015-08-15,15:30 (08:30),Werder Bremen,0–3,Schalke 04,42100,Weserstadion,Daniel Siebert,Match Report,
Regular Season,1,Sat,2015-08-15,15:30 (08:30),Mainz 05,0–1,Ingolstadt 04,27152,Opel Arena,Guido Winkmann,Match Report,
Regular Season,1,Sat,2015-08-15,18:30 (11:30),Dortmund,4–0,M'gladbach,81359,Signal Iduna Park,Tobias Stieler,Match Report,
Regular Season,1,Sun,2015-08-16,15:30 (08:30),Wolfsburg,2–1,Eint Frankfurt,29126,Volkswagen Arena,Christian Dingert,Match Report,
Regular Season,1,Sun,2015-08-16,17:30 (10:30),Stuttgart,1–3,Köln,59500,Mercedes-Benz Arena,Wolfgang Stark,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2015-08-21,20:30 (13:30),Hertha BSC,1–1,Werder Bremen,56376,Olympiastadion Berlin,Sascha Stegemann,Match Report,
Regular Season,2,Sat,2015-08-22,15:30 (08:30),Köln,1–1,Wolfsburg,46000,RheinEnergieSTADION,Knut Kircher,Match Report,
Regular Season,2,Sat,2015-08-22,15:30 (08:30),Schalke 04,1–1,Darmstadt 98,61565,Veltins-Arena,Benjamin Brand,Match Report,
Regular Season,2,Sat,2015-08-22,15:30 (08:30),Hannover 96,0–1,Bayer,39100,HDI-Arena,Wolfgang Stark,Match Report,
Regular Season,2,Sat,2015-08-22,15:30 (08:30),Eint Frankfurt,1–1,Augsburg,45000,Commerzbank-Arena,Florian Meyer,Match Report,
Regular Season,2,Sat,2015-08-22,15:30 (08:30),Hoffenheim,1–2,Bayern Munich,30150,PreZero Arena,Tobias Stieler,Match Report,
Regular Season,2,Sat,2015-08-22,18:30 (11:30),Hamburger SV,3–2,Stuttgart,54618,Volksparkstadion,Günter Perl,Match Report,
Regular Season,2,Sun,2015-08-23,15:30 (08:30),Ingolstadt 04,0–4,Dortmund,15000,Audi-Sportpark,Christian Dingert,Match Report,
Regular Season,2,Sun,2015-08-23,17:30 (10:30),M'gladbach,1–2,Mainz 05,50172,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2015-08-28,20:30 (13:30),Wolfsburg,3–0,Schalke 04,30000,Volkswagen Arena,Felix Brych,Match Report,
Regular Season,3,Sat,2015-08-29,15:30 (08:30),Mainz 05,3–0,Hannover 96,26872,Opel Arena,Peter Sippel,Match Report,
Regular Season,3,Sat,2015-08-29,15:30 (08:30),Augsburg,0–1,Ingolstadt 04,30003,WWK Arena,Jochen Drees,Match Report,
