Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2014-08-01,20:30 (13:30),Düsseldorf,2–2,Braunschweig,41667,Merkur Spielarena,Deniz Aytekin,Match Report,
Regular Season,1,Sat,2014-08-02,13:00 (06:00),RB Leipzig,0–0,Aalen,21354,Red Bull Arena,Christian Dingert,Match Report,
Regular Season,1,Sat,2014-08-02,15:30 (08:30),St. Pauli,1–1,Ingolstadt 04,26664,Millerntor-Stadion,Marco Fritz,Match Report,
Regular Season,1,Sat,2014-08-02,15:30 (08:30),Bochum,1–1,Greuther Fürth,18146,Vonovia Ruhrstadion,Tobias Stieler,Match Report,
Regular Season,1,Sun,2014-08-03,13:30 (06:30),Heidenheim,2–1,FSV Frankfurt,11000,Voith-Arena,Peter Sippel,Match Report,
Regular Season,1,Sun,2014-08-03,15:30 (08:30),Karlsruher,0–0,Union Berlin,18489,Wildparkstadion,Tobias Welz,Match Report,
Regular Season,1,Sun,2014-08-03,15:30 (08:30),Nürnberg,1–0,Erzgebirge Aue,37116,Max-Morlock-Stadion,Sascha Stegemann,Match Report,
Regular Season,1,Sun,2014-08-03,15:30 (08:30),Darmstadt 98,1–0,Sandhausen,13400,Jonathan-Heimes-Stadion am Böllenfalltor,Robert Hartmann,Match Report,
Regular Season,1,Mon,2014-08-04,20:15 (13:15),Kaiserslautern,3–2,1860 Munich,41092,Fritz-Walter-Stadion,Bastian Dankert,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2014-08-08,18:30 (11:30),Aalen,2–0,St. Pauli,9583,Scholz Arena,Peter Gagelmann,Match Report,
Regular Season,2,Fri,2014-08-08,18:30 (11:30),FSV Frankfurt,2–3,Karlsruher,6738,Frankfurter Volksbank Stadion,Felix Zwayer,Match Report,
Regular Season,2,Fri,2014-08-08,20:30 (13:30),Union Berlin,1–1,Düsseldorf,20562,Stadion An der Alten Försterei,Knut Kircher,Match Report,
Regular Season,2,Sat,2014-08-09,15:30 (08:30),Erzgebirge Aue,1–5,Bochum,8850,Sparkassen-Erzgebirgsstadion,Arnold Hunter,Match Report,
Regular Season,2,Sat,2014-08-09,15:30 (08:30),Braunschweig,3–0,Heidenheim,21430,Eintracht-Stadion,Thorsten Kinhöfer,Match Report,
Regular Season,2,Sun,2014-08-10,13:30 (06:30),Ingolstadt 04,2–2,Darmstadt 98,9000,Audi-Sportpark,Aarne Aarnink,Match Report,
Regular Season,2,Sun,2014-08-10,15:30 (08:30),Sandhausen,1–1,Kaiserslautern,9500,Hardtwaldstadion,Harm Osmers,Match Report,
Regular Season,2,Sun,2014-08-10,15:30 (08:30),1860 Munich,0–3,RB Leipzig,32000,Allianz Arena,Guido Winkmann,Match Report,
Regular Season,2,Mon,2014-08-11,20:15 (13:15),Greuther Fürth,5–1,Nürnberg,17200,Sportpark Ronhof Thomas Sommer,Wolfgang Stark,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2014-08-22,18:30 (11:30),RB Leipzig,1–0,Erzgebirge Aue,34237,Red Bull Arena,Felix Brych,Match Report,
Regular Season,3,Fri,2014-08-22,18:30 (11:30),St. Pauli,2–1,Sandhausen,26581,Millerntor-Stadion,Benjamin Cortus,Match Report,
Regular Season,3,Fri,2014-08-22,18:30 (11:30),Heidenheim,2–2,1860 Munich,13000,Voith-Arena,Patrick Ittrich,Match Report,
Regular Season,3,Sat,2014-08-23,13:00 (06:00),Düsseldorf,0–2,Karlsruher,30278,Merkur Spielarena,Harm Osmers,Match Report,
Regular Season,3,Sat,2014-08-23,13:00 (06:00),Nürnberg,0–1,FSV Frankfurt,26856,Max-Morlock-Stadion,Bastian Dankert,Match Report,
Regular Season,3,Sun,2014-08-24,13:30 (06:30),Ingolstadt 04,2–0,Greuther Fürth,8021,Audi-Sportpark,Thorsten Schriever,Match Report,
Regular Season,3,Sun,2014-08-24,13:30 (06:30),Darmstadt 98,2–0,Aalen,9200,Jonathan-Heimes-Stadion am Böllenfalltor,Christian Bandurski,Match Report,
Regular Season,3,Sun,2014-08-24,13:30 (06:30),Kaiserslautern,2–1,Braunschweig,33289,Fritz-Walter-Stadion,Günter Perl,Match Report,
Regular Season,3,Mon,2014-08-25,20:15 (13:15),Bochum,1–1,Union Berlin,16307,Vonovia Ruhrstadion,Sascha Stegemann,Match Report,
,,,,,,,,,,,,
