Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-26,20:30 (13:30),Stuttgart,2–1,Hannover 96,52021,Mercedes-Benz Arena,Felix Brych,Match Report,
1,Sat,2019-07-27,13:00 (06:00),Dynamo Dres,0–1,Nürnberg,29753,DDV-Stadion,Felix Zwayer,Match Report,
1,Sat,2019-07-27,15:30 (08:30),Osnabrück,1–3,Heidenheim,12909,Stadion an der Bremer Brücke,Sascha Stegemann,Match Report,
1,Sat,2019-07-27,15:30 (08:30),Holstein Kiel,1–1,Sandhausen,10103,Holstein-Stadion,Tobias Stieler,Match Report,
1,Sun,2019-07-28,13:30 (06:30),Hamburger SV,1–1,Darmstadt 98,44475,Volksparkstadion,Robert Hartmann,Match Report,
1,Sun,2019-07-28,15:30 (08:30),Jahn R'burg,3–1,Bochum,10268,Continental Arena,Robert Schröder,Match Report,
1,Sun,2019-07-28,15:30 (08:30),Wehen,1–2,Karlsruher,6871,BRITA-Arena,Christian Dingert,Match Report,
1,Sun,2019-07-28,15:30 (08:30),Greuther Fürth,0–2,Erzgebirge Aue,9970,Sportpark Ronhof Thomas Sommer,Daniel Siebert,Match Report,
1,Mon,2019-07-29,20:30 (13:30),Arminia,1–1,St. Pauli,23857,SchücoArena Kunstrasenplatz,Bastian Dankert,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-02,18:30 (11:30),Sandhausen,0–1,Osnabrück,5025,Hardtwaldstadion,Florian Badstübner,Match Report,
2,Fri,2019-08-02,18:30 (11:30),Bochum,3–3,Arminia,21708,Vonovia Ruhrstadion,Martin Petersen,Match Report,
2,Fri,2019-08-02,20:30 (13:30),St. Pauli,1–3,Greuther Fürth,29546,Millerntor-Stadion,Sven Jablonski,Match Report,
2,Sat,2019-08-03,13:00 (06:00),Karlsruher,4–2,Dynamo Dres,13099,Wildparkstadion,Frank Willenborg,Match Report,
2,Sat,2019-08-03,15:30 (08:30),Hannover 96,1–1,Jahn R'burg,28500,HDI-Arena,Daniel Schlager,Match Report,
2,Sun,2019-08-04,13:30 (06:30),Heidenheim,2–2,Stuttgart,15000,Voith-Arena,Benjamin Cortus,Match Report,
2,Sun,2019-08-04,15:30 (08:30),Darmstadt 98,2–0,Holstein Kiel,13065,Jonathan-Heimes-Stadion am Böllenfalltor,Aarne Aarnink,Match Report,
2,Sun,2019-08-04,15:30 (08:30),Erzgebirge Aue,3–2,Wehen,9500,Sparkassen-Erzgebirgsstadion,Robert Kempter,Match Report,
2,Mon,2019-08-05,20:30 (13:30),Nürnberg,0–4,Hamburger SV,44497,Max-Morlock-Stadion,Harm Osmers,Match Report,
,,,,,,,,,,,
3,Fri,2019-08-16,18:30 (11:30),Hamburger SV,1–0,Bochum,41737,Volksparkstadion,Christian Dingert,Match Report,
3,Fri,2019-08-16,18:30 (11:30),Sandhausen,3–2,Nürnberg,7542,Hardtwaldstadion,Robert Kampka,Match Report,
3,Sat,2019-08-17,13:00 (06:00),Wehen,0–3,Hannover 96,5607,BRITA-Arena,Timo Gerach,Match Report,
3,Sat,2019-08-17,13:00 (06:00),Stuttgart,2–1,St. Pauli,53315,Mercedes-Benz Arena,Guido Winkmann,Match Report,
3,Sat,2019-08-17,13:00 (06:00),Arminia,3–1,Erzgebirge Aue,15021,SchücoArena Kunstrasenplatz,Martin Thomsen,Match Report,
3,Sun,2019-08-18,13:30 (06:30),Dynamo Dres,2–1,Heidenheim,26350,DDV-Stadion,Patrick Alt,Match Report,
3,Sun,2019-08-18,13:30 (06:30),Greuther Fürth,1–0,Jahn R'burg,9665,Sportpark Ronhof Thomas Sommer,Marco Fritz,Match Report,
3,Sun,2019-08-18,13:30 (06:30),Holstein Kiel,2–1,Karlsruher,11758,Holstein-Stadion,Sascha Stegemann,Match Report,
3,Mon,2019-08-19,20:30 (13:30),Osnabrück,4–0,Darmstadt 98,14101,Stadion an der Bremer Brücke,Patrick Ittrich,Match Report,
,,,,,,,,,,,
4,Fri,2019-08-23,18:30 (11:30),Darmstadt 98,0–0,Dynamo Dres,14610,Jonathan-Heimes-Stadion am Böllenfalltor,Matthias Jöllenbeck,Match Report,
4,Fri,2019-08-23,18:30 (11:30),Erzgebirge Aue,0–0,Stuttgart,13950,Sparkassen-Erzgebirgsstadion,Felix Zwayer,Match Report,
4,Sat,2019-08-24,13:00 (06:00),Hannover 96,1–1,Greuther Fürth,25300,HDI-Arena,René Rohde,Match Report,
4,Sat,2019-08-24,13:00 (06:00),Jahn R'burg,1–3,Arminia,9514,Continental Arena,Pascal Müller,Match Report,
4,Sat,2019-08-24,13:00 (06:00),Bochum,3–3,Wehen,14189,Vonovia Ruhrstadion,Daniel Schlager,Match Report,
4,Sun,2019-08-25,13:30 (06:30),Heidenheim,0–2,Sandhausen,10500,Voith-Arena,Frank Willenborg,Match Report,
