Date,Home,Away,Home Score,Away Score
09/17/19,Inter Milan,Slavia Praha,1,1
09/17/19,Lyon,Zenit St. Petersburg,1,1
09/17/19,Chelsea,Valencia,0,1
09/17/19,Red Bull Salzburg,Genk,6,2
09/17/19,Napoli,Liverpool,2,0
09/17/19,Ajax,Lille,3,0
09/17/19,Benfica,RB Leipzig,1,2
09/17/19,Dortmund,Barcelona,0,0
09/18/19,Club Brugge,Galatasaray,0,0
09/18/19,Olympiacos,Tottenham,2,2
09/18/19,Bayer Leverkusen,Lokomotiv Moscow,1,2
09/18/19,Paris St. Germain,Real Madrid,3,0
09/18/19,Bayern Munich,Red Star Belgrade,3,0
09/18/19,Atletico Madrid,Juventus,2,2
09/18/19,Shaktar Donetsk,Manchester City,0,3
09/18/19,Dinamo Zagreb,Atalanta,4,0
09/18/19,Atalanta,Shaktar Donetsk,1,2
10/01/19,Real Madrid,Club Brugge,2,2
10/01/19,Manchester City,Dinamo Zagreb,2,0
10/01/19,Red Star Belgrade,Olympiacos,3,1
10/01/19,Lokomotiv Moscow,Atletico Madrid,0,2
10/01/19,Tottenham,Bayern Munich,2,7
10/01/19,Juventus,Bayer Leverkusen,3,0
10/01/19,Galatasaray,Paris St. Germain,0,1
10/02/19,Slavia Prague,Dortmund,0,2
10/02/19,Genk,Napoli,0,0
10/02/19,Liverpool,Red Bull Salzburg,4,3
10/02/19,Lille,Chelsea,1,2
10/02/19,Zenit St. Petersburg,Benfica,3,1
10/02/19,Valencia,Ajax,0,3
10/02/19,Barcelona,Inter Milan,2,1
10/02/19,RB Leipzig,Lyon,0,2
10/22/19,Shaktar Donetsk,Dinamo Zagreb,2,2
10/22/19,Atletico Madrid,Bayer Leverkusen,1,0
10/22/19,Manchester City,Atalanta,5,0
10/22/19,Galatasaray,Real Madrid,0,1
10/22/19,Olympiacos,Bayern Munich,2,3
10/22/19,Club Brugge,Paris St. Germain,0,5
10/22/19,Tottenham,Red Star Belgrade,5,0
10/22/19,Juventus,Lokomotiv Moscow,2,1
10/23/19,Ajax,Chelsea,0,1
10/23/19,RB Leipzig,Zenit St. Petersburg,2,1
10/23/19,Slavia Prague,Barcelona,1,2
10/23/19,Red Bull Salzburg,Napoli,2,3
10/23/19,Genk,Liverpool,1,4
10/23/19,Inter Milan,Dortmund,2,0
10/23/19,Lille,Valencia,1,1
10/23/19,Benfica,Lyon,2,1
11/05/19,Barcelona,Slavia Praha,0,0
11/05/19,Zenit St. Petersburg,RB Leipzig,0,2
11/05/19,Liverpool,Genk,2,1
11/05/19,Napoli,Red Bull Salzburg,1,1
11/05/19,Valencia,Lille,4,1
11/05/19,Lyon,Benfica,3,1
11/05/19,Chelsea,Ajax,4,4
11/05/19,Dortmund,Inter Milan,3,2
11/06/19,Bayern Munich,Olympiacos,2,0
11/06/19,Lokomotiv Moscow,Juventus,1,2
11/06/19,Red Star Belgrade,Tottenham,0,4
11/06/19,Bayer Leverkusen,Atletico Madrid,2,1
11/06/19,Paris St. Germain,Club Brugge,1,0
11/06/19,Atalanta,Manchester City,1,1
11/06/19,Dinamo Zagreb,Shaktar Donetsk,3,3
11/06/19,Real Madrid,Galatasaray,6,0
11/07/19,Lokomotiv Moscow,Bayer Leverkusen,0,2
11/26/19,Galatasaray,Club Brugge,1,1
11/26/19,Real Madrid,Paris St. Germain,2,2
11/26/19,Tottenham,Olympiacos,4,2
11/26/19,Manchester City,Shaktar Donetsk,1,1
11/26/19,Juventus,Atletico Madrid,1,0
11/26/19,Red Star Belgrade,Bayern Munich,0,6
11/26/19,Atalanta,Dinamo Zagreb,2,0
11/27/19,Zenit St. Petersburg,Lyon,2,0
11/27/19,Valencia,Chelsea,2,2
11/27/19,Barcelona,Dortmund,3,1
11/27/19,Slavia Prague,Inter Milan,1,3
11/27/19,Lille,Ajax,0,2
11/27/19,Genk,Red Bull Salzburg,1,4
11/27/19,Liverpool,Napoli,1,1
11/27/19,RB Leipzig,Benfica,2,2
