Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,1,Tue,2018-09-18,18:55 (11:55),Barcelona es,1.8,4–0,0.6,nl PSV Eindhoven,73462,Camp Nou,Tasos Sidiropoulos,Match Report,
Group Stage,1,Tue,2018-09-18,18:55 (11:55),Inter it,1.3,2–1,0.9,eng Tottenham,64123,Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,
Group Stage,1,Tue,2018-09-18,20:00 (14:00),Liverpool eng,2.9,3–2,1.3,fr Paris S-G,52478,Anfield,Baris Şimşek,Match Report,
Group Stage,1,Tue,2018-09-18,21:00 (14:00),Red Star rs,0.3,0–0,1.5,it Napoli,49112,Stadion Rajko Mitić,Tomasz Musiał,Match Report,
Group Stage,1,Tue,2018-09-18,21:00 (14:00),Club Brugge be,0.6,0–1,1.1,de Dortmund,25181,Jan Breydelstadion,Danny Makkelie,Match Report,
Group Stage,1,Tue,2018-09-18,21:00 (14:00),Monaco fr,0.6,1–2,1.0,es Atlético Madrid,10575,Stade Louis II.,William Collum,Match Report,
Group Stage,1,Tue,2018-09-18,21:00 (14:00),Schalke 04 de,0.9,1–1,2.3,pt Porto,45755,Veltins-Arena,Ricardo de Burgos,Match Report,
Group Stage,1,Tue,2018-09-18,22:00 (14:00),Galatasaray tr,2.1,3–0,1.0,ru Loko Moscow,43542,Türk Telekom Arena,Luca Banti,Match Report,
Group Stage,1,Wed,2018-09-19,18:55 (11:55),Ajax nl,1.8,3–0,0.3,gr AEK Athens,52285,Johan Cruyff ArenA,Carlos del Cerro,Match Report,
Group Stage,1,Wed,2018-09-19,19:55 (11:55),Shakhtar ua,0.7,2–2,1.9,de Hoffenheim,28336,Oblasny SportKomplex Metalist,Jakob Kehlet,Match Report,
Group Stage,1,Wed,2018-09-19,20:00 (14:00),Manchester City eng,1.6,1–2,0.7,fr Lyon,40111,Etihad Stadium,Daniele Orsato,Match Report,
Group Stage,1,Wed,2018-09-19,20:00 (14:00),Benfica pt,1.3,0–2,2.6,de Bayern Munich,60274,Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,Match Report,
Group Stage,1,Wed,2018-09-19,21:00 (14:00),Valencia es,2.0,0–2,3.1,it Juventus,46067,Estadio de Mestalla,Felix Brych,Match Report,
Group Stage,1,Wed,2018-09-19,21:00 (14:00),Real Madrid es,2.8,3–0,0.6,it Roma,69251,Estadio Santiago Bernabéu,Björn Kuipers,Match Report,
Group Stage,1,Wed,2018-09-19,21:00 (14:00),Young Boys ch,1.7,0–3,2.1,eng Manchester Utd,31120,Stade de Suisse Wankdorf Bern,Deniz Aytekin,Match Report,
Group Stage,1,Wed,2018-09-19,21:00 (14:00),Viktoria Plzeň cz,1.3,2–2,1.8,ru CSKA Moscow,11312,Doosan Arena,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Group Stage,2,Tue,2018-10-02,18:55 (11:55),Hoffenheim de,0.5,1–2,2.6,eng Manchester City,24851,PreZero Arena,Matej Jug,Match Report,
Group Stage,2,Tue,2018-10-02,18:55 (11:55),Juventus it,3.4,3–0,0.2,ch Young Boys,40961,Allianz Stadium,Sergey Karasev,Match Report,
Group Stage,2,Tue,2018-10-02,20:00 (14:00),Manchester Utd eng,0.9,0–0,0.4,es Valencia,73569,Old Trafford,Slavko Vinčič,Match Report,
Group Stage,2,Tue,2018-10-02,21:00 (14:00),Bayern Munich de,1.4,1–1,1.6,nl Ajax,70000,Allianz Arena,Pavel Královec,Match Report,
Group Stage,2,Tue,2018-10-02,21:00 (14:00),Lyon fr,2.5,2–2,1.2,ua Shakhtar,,Groupama OL Academy Décines-Charpieu,Aleksandrs Golubevs,Match Report,
Group Stage,2,Tue,2018-10-02,21:00 (14:00),Roma it,3.1,5–0,0.4,cz Viktoria Plzeň,41243,Stadio Olimpico,Paweł Raczkowski,Match Report,
Group Stage,2,Tue,2018-10-02,22:00 (14:00),CSKA Moscow ru,0.9,1–0,1.4,es Real Madrid,71811,VEB Arena,Ovidiu Hațegan,Match Report,
Group Stage,2,Tue,2018-10-02,22:00 (14:00),AEK Athens gr,2.7,2–3,1.8,pt Benfica,31154,Olympiako Stadio Spyros Louis,Orel Grinfeeld,Match Report,
Group Stage,2,Wed,2018-10-03,18:55 (11:55),Paris S-G fr,4.7,6–1,0.2,rs Red Star,39979,Parc des Princes,Artur Dias,Match Report,
Group Stage,2,Wed,2018-10-03,19:55 (11:55),Loko Moscow ru,0.8,0–1,1.2,de Schalke 04,21471,RZD Arena,Anthony Taylor,Match Report,
Group Stage,2,Wed,2018-10-03,20:00 (14:00),Porto pt,1.4,1–0,1.6,tr Galatasaray,42711,Estádio Do Dragão,Michael Oliver,Match Report,
Group Stage,2,Wed,2018-10-03,20:00 (14:00),Tottenham eng,0.6,2–4,1.8,es Barcelona,82137,Wembley Stadium,Tobias Stieler,Match Report,
Group Stage,2,Wed,2018-10-03,21:00 (14:00),Dortmund de,3.0,3–0,0.6,fr Monaco,66099,Signal Iduna Park,Aliaksei Kulbakou,Match Report,
Group Stage,2,Wed,2018-10-03,21:00 (14:00),PSV Eindhoven nl,0.9,1–2,1.7,it Inter,34750,Philips Stadion,Danilo Grujić,Match Report,
Group Stage,2,Wed,2018-10-03,21:00 (14:00),Napoli it,2.1,1–0,0.1,eng Liverpool,37057,Stadio San Paolo,Sándor Andó-Szabó,Match Report,
Group Stage,2,Wed,2018-10-03,21:00 (14:00),Atlético Madrid es,1.6,3–1,0.5,be Club Brugge,55742,Estadio Wanda Metropolitano,Filip Glova,Match Report,
,,,,,,,,,,,,,,
Group Stage,3,Tue,2018-10-23,18:55 (11:55),Young Boys ch,2.2,1–1,0.9,es Valencia,31120,Stade de Suisse Wankdorf Bern,Aleksandrs Anufrijevs,Match Report,
Group Stage,3,Tue,2018-10-23,19:55 (11:55),AEK Athens gr,0.3,0–2,1.7,de Bayern Munich,61221,Olympiako Stadio Spyros Louis,Aliaksei Kulbakou,Match Report,
Group Stage,3,Tue,2018-10-23,20:00 (14:00),Manchester Utd eng,0.2,0–1,1.0,it Juventus,73946,Old Trafford,Danilo Grujić,Match Report,
Group Stage,3,Tue,2018-10-23,21:00 (14:00),Real Madrid es,2.1,2–1,1.1,cz Viktoria Plzeň,67356,Estadio Santiago Bernabéu,Orel Grinfeeld,Match Report,
Group Stage,3,Tue,2018-10-23,21:00 (14:00),Roma it,2.6,3–0,0.6,ru CSKA Moscow,46005,Stadio Olimpico,Tasos Sidiropoulos,Match Report,
Group Stage,3,Tue,2018-10-23,21:00 (14:00),Hoffenheim de,3.4,3–3,1.5,fr Lyon,24144,PreZero Arena,Alberto Undiano,Match Report,
Group Stage,3,Tue,2018-10-23,21:00 (14:00),Ajax nl,1.6,1–0,0.9,pt Benfica,52489,Johan Cruyff ArenA,Ruddy Buquet,Match Report,
Group Stage,3,Tue,2018-10-23,22:00 (14:00),Shakhtar ua,1.1,0–3,2.4,eng Manchester City,37106,Oblasny SportKomplex Metalist,Carlos del Cerro,Match Report,
Group Stage,3,Wed,2018-10-24,18:55 (11:55),Club Brugge be,1.5,1–1,0.9,fr Monaco,23957,Jan Breydelstadion,Michael Oliver,Match Report,
Group Stage,3,Wed,2018-10-24,18:55 (11:55),PSV Eindhoven nl,1.2,2–2,1.9,eng Tottenham,35000,Philips Stadion,Slavko Vinčič,Match Report,
Group Stage,3,Wed,2018-10-24,20:00 (14:00),Liverpool eng,3.7,4–0,0.2,rs Red Star,53024,Anfield,Daniel Siebert,Match Report,
Group Stage,3,Wed,2018-10-24,21:00 (14:00),Barcelona es,2.2,2–0,0.8,it Inter,86290,Camp Nou,Ovidiu Hațegan,Match Report,
Group Stage,3,Wed,2018-10-24,21:00 (14:00),Paris S-G fr,1.3,2–2,1.6,it Napoli,46274,Parc des Princes,Tobias Stieler,Match Report,
Group Stage,3,Wed,2018-10-24,21:00 (14:00),Dortmund de,1.9,4–0,0.7,es Atlético Madrid,66099,Signal Iduna Park,Anthony Taylor,Match Report,
Group Stage,3,Wed,2018-10-24,22:00 (14:00),Loko Moscow ru,2.0,1–3,1.4,pt Porto,16034,RZD Arena,John Beaton,Match Report,
Group Stage,3,Wed,2018-10-24,22:00 (14:00),Galatasaray tr,0.3,0–0,2.5,de Schalke 04,46667,Türk Telekom Arena,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Group Stage,4,Tue,2018-11-06,18:55 (11:55),Red Star rs,0.6,2–0,2.5,eng Liverpool,51318,Stadion Rajko Mitić,Antonio Matéu Lahoz,Match Report,
Group Stage,4,Tue,2018-11-06,18:55 (11:55),Monaco fr,1.1,0–4,1.7,be Club Brugge,8347,Stade Louis II.,Hugo Miguel,Match Report,
Group Stage,4,Tue,2018-11-06,20:00 (14:00),Porto pt,1.8,4–1,0.8,ru Loko Moscow,34616,Estádio Do Dragão,Massimiliano Irrati,Match Report,
Group Stage,4,Tue,2018-11-06,20:00 (14:00),Tottenham eng,2.6,2–1,0.6,nl PSV Eindhoven,46588,Wembley Stadium,Filip Glova,Match Report,
Group Stage,4,Tue,2018-11-06,21:00 (14:00),Napoli it,1.9,1–1,1.0,fr Paris S-G,55489,Stadio San Paolo,Björn Kuipers,Match Report,
Group Stage,4,Tue,2018-11-06,21:00 (14:00),Schalke 04 de,1.5,2–0,0.5,tr Galatasaray,54740,Veltins-Arena,William Collum,Match Report,
Group Stage,4,Tue,2018-11-06,21:00 (14:00),Atlético Madrid es,1.4,2–0,0.4,de Dortmund,61023,Estadio Wanda Metropolitano,Daniele Orsato,Match Report,
Group Stage,4,Tue,2018-11-06,21:00 (14:00),Inter it,1.4,1–1,1.7,es Barcelona,70915,Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,
Group Stage,4,Wed,2018-11-07,18:55 (11:55),Valencia es,1.7,3–1,1.0,ch Young Boys,36480,Estadio de Mestalla,István Kovács,Match Report,
Group Stage,4,Wed,2018-11-07,20:55 (11:55),CSKA Moscow ru,0.9,1–2,1.6,it Roma,64454,VEB Arena,Baris Şimşek,Match Report,
Group Stage,4,Wed,2018-11-07,20:00 (14:00),Benfica pt,1.2,1–1,1.1,nl Ajax,51328,Estádio do Sport Lisboa e Benfica,Luca Banti,Match Report,
Group Stage,4,Wed,2018-11-07,20:00 (14:00),Manchester City eng,3.2,6–0,0.3,ua Shakhtar,52286,Etihad Stadium,Sándor Andó-Szabó,Match Report,
Group Stage,4,Wed,2018-11-07,21:00 (14:00),Viktoria Plzeň cz,0.7,0–5,1.5,es Real Madrid,11483,Doosan Arena,Deniz Aytekin,Match Report,
