Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,,Thu,2015-08-27,21:00 (14:00),Mérida,0–3,Peña Sport,4000,Estadio Romano,Héctor Bustos,Match Report,
First Round,,Wed,2015-09-02,17:30 (10:30),Tudelano,3–2,Compostela,600,Estadio Municipal Ciudad de Tudela,Carlos Álvarez,Match Report,
First Round,,Wed,2015-09-02,17:00 (11:00),Mensajero,2–0,Majadahonda,450,Estadio Silvestre Carrillo,Santiago Varón,Match Report,
First Round,,Wed,2015-09-02,18:30 (11:30),Condal,1–4,Arandina,350,Estadio Alejandro Ortea,Javier Villanueva,Match Report,Required Extra Time
First Round,,Wed,2015-09-02,18:30 (11:30),Ebro,(4) 2–2 (3),Real Unión,600,Estadio El Carmen,Alejandro Fernández,Match Report,Ebro won on penalty kicks following extra time
First Round,,Wed,2015-09-02,19:00 (12:00),Varea,2–3,Leonesa,300,Estadio Municipal,Álvaro López,Match Report,
First Round,,Wed,2015-09-02,20:00 (13:00),Laredo,2–0,Santander,1800,Campo San Lorenzo,César Ramos,Match Report,
First Round,,Wed,2015-09-02,20:00 (13:00),Guadalajara,0–2,Talavera,600,Estadio Pedro Escartín,Rubén Jiménez,Match Report,
First Round,,Wed,2015-09-02,20:00 (13:00),Sabadell,(2) 1–1 (4),Castellón,2000,Estadi de la Nova Creu Alta,Cristian Lixandru,Match Report,Castellón won on penalty kicks following extra time
First Round,,Wed,2015-09-02,20:30 (13:30),Alcoyano,1–2,SD Formentera,1500,Campo Municipal El Collao,José Sánchez,Match Report,
First Round,,Wed,2015-09-02,20:30 (13:30),Guijuelo,1–0,Pontevedra,250,Estadio Municipal de Guijuelo,Alberto Villoria,Match Report,
First Round,,Wed,2015-09-02,20:30 (13:30),Reus,2–0,Ascó,772,Estadio Camp Nou Municipal,Salvador Lax,Match Report,
First Round,,Wed,2015-09-02,21:00 (14:00),Linense,1–0,Huelva,1000,Estadio Municipal,José Fernández,Match Report,
First Round,,Wed,2015-09-02,21:00 (14:00),Real Murcia,0–1,Cádiz,4161,Estadio Nueva Condomina,Vicente Gil,Match Report,
First Round,,Wed,2015-09-02,21:00 (14:00),Lleida,3–1,Hércules,1000,Camp d'Esports de Lleida,Iosu Galech,Match Report,
First Round,,Wed,2015-09-02,21:00 (14:00),Socuéllamos,2–1,Portugalete,800,Estadio Paquito Jiménez,Juan Peña,Match Report,
First Round,,Wed,2015-09-02,21:00 (14:00),Linares,2–1,Jumilla,1500,Estadio Municipal de Linarejos,Jesús Muñoz,Match Report,
First Round,,Wed,2015-09-02,20:30 (14:30),Melilla,0–1,Algeciras,500,Estadio Álvarez Claro,Isidro Díaz de Mera,Match Report,
Second Round,,Wed,2015-09-09,17:00 (11:00),Mensajero,0–1,Cádiz,1000,Estadio Silvestre Carrillo,Álvaro Moreno,Match Report,Required Extra Time
Second Round,,Wed,2015-09-09,18:00 (11:00),Ebro,1–0,Tudelano,1300,Estadio El Carmen,Gustavo Rebollo,Match Report,Required Extra Time
Second Round,,Wed,2015-09-09,19:30 (12:30),Huracán,2–0,Socuéllamos,1500,Estadio San Gregorio,Sebastián Sebastián Ripoll,Match Report,
Second Round,,Wed,2015-09-09,20:00 (13:00),Laredo,3–1,Leonesa,1300,Campo San Lorenzo,Pablo Fernández,Match Report,
Second Round,,Wed,2015-09-09,20:00 (13:00),Almería,(4) 3–3 (3),Elche,5895,Estadio de los Juegos Mediterráneos,Daniel Trujillo,Match Report,Almería won on penalty kicks following extra time
Second Round,,Wed,2015-09-09,20:15 (13:15),Barakaldo,3–1,SD Formentera,1100,Estadio Nuevo Lasesarre,Julio Leo,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),Llagostera,2–1,Albacete,812,Estadi Municipal Palamós Costa Brava,Saúl Ais,Match Report,Required Extra Time
Second Round,,Wed,2015-09-09,20:30 (13:30),Alcorcón,0–1,Ponferradina,1886,Estadio Santo Domingo,Pablo González,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),Gimnàstic,(5) 2–2 (4),Girona,2748,Nou Estadi de Tarragona,Daniel Ocón,Match Report,Gimnàstic won on penalty kicks following extra time
Second Round,,Wed,2015-09-09,20:30 (13:30),Córdoba,0–1,Lugo,10000,Estadio Nuevo Arcángel,Valentín Pizarro,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),UCAM Murcia,2–1,Algeciras,1500,Estadio Nueva Condomina,Carlos Carbonell,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),Mirandés,1–2,Osasuna,3369,Estadio Municipal de Anduva,Rubén Eiriz,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),Leganés,2–0,Tenerife,3334,Estadio Municipal de Butarque,Rubén Ruipérez,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),Lleida,2–0,Guijuelo,650,Camp d'Esports de Lleida,Ángel Hernández Lorenzo,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),Numancia,0–1,Alavés,2428,Ciudad Deportiva Francisco Rubio Garcés,Alberola Rojas,Match Report,
Second Round,,Wed,2015-09-09,20:30 (13:30),Arandina,2–4,Reus,1000,Estadio El Montecillo,José López,Match Report,
Second Round,,Wed,2015-09-09,20:45 (13:45),UD Logroñés,2–1,Linares,2058,Estadio Nuevo Municipal Las Gaunas,Ibai Rezola,Match Report,
Second Round,,Wed,2015-09-09,20:45 (13:45),Ferrol,1–0,Castellón,500,Estadio Municipal de A Malata,Leandro Carbajales,Match Report,
Second Round,,Wed,2015-09-09,20:45 (13:45),Talavera,0–2,Linense,2050,Estadio El Prado,Alfonso Vicente Moral,Match Report,
Second Round,,Wed,2015-09-09,21:00 (14:00),Villanovense,3–2,Peña Sport,1200,Estadio Romero Cuerda,José Caucelo,Match Report,
Second Round,,Wed,2015-09-09,22:00 (15:00),Oviedo,2–1,Valladolid,3000,Estadio Nuevo Carlos Tartiere,Gorka Sagues,Match Report,
Second Round,,Thu,2015-09-10,20:00 (13:00),Mallorca,0–2,Huesca,3715,Iberostar Estadi,David Medié,Match Report,
Third Round,3,Wed,2015-10-14,20:30 (13:30),Barakaldo,1–0,Huracán,6000,Estadio Nuevo Lasesarre,José Álvarez,Match Report,
Third Round,3,Wed,2015-10-14,20:30 (13:30),Leganés,3–1,Alavés,3613,Estadio Municipal de Butarque,David Pérez,Match Report,
Third Round,3,Wed,2015-10-14,20:30 (13:30),Cádiz,1–0,Laredo,10000,Estadio Ramón de Carranza,Ricardo Escudero,Match Report,
Third Round,3,Wed,2015-10-14,20:30 (13:30),Reus,2–1,Lleida,1000,Estadio Camp Nou Municipal,Miguel Bosch,Match Report,Required Extra Time
Third Round,3,Wed,2015-10-14,20:30 (13:30),Almería,2–1,Gimnàstic,4328,Estadio de los Juegos Mediterráneos,Jorge Valdés Aller,Match Report,
Third Round,3,Wed,2015-10-14,20:30 (13:30),Oviedo,2–3,Mirandés,6000,Estadio Nuevo Carlos Tartiere,Jorge Figueroa,Match Report,Required Extra Time
Third Round,3,Wed,2015-10-14,20:45 (13:45),UD Logroñés,(5) 2–2 (4),UCAM Murcia,2534,Estadio Nuevo Municipal Las Gaunas,Miguel Vila,Match Report,UD Logroñés won on penalty kicks following extra time
Third Round,3,Wed,2015-10-14,21:00 (14:00),Linense,2–0,Ebro,4000,Estadio Municipal,Guillermo Conejero Sánchez,Match Report,
Third Round,3,Wed,2015-10-14,21:00 (14:00),Villanovense,2–1,Ferrol,2700,Estadio Romero Cuerda,Raúl Chavet,Match Report,
Third Round,3,Thu,2015-10-15,20:30 (13:30),Zaragoza,1–2,Llagostera,9714,Estadio de la Romareda,José Piñeiro,Match Report,
Third Round,3,Thu,2015-10-15,20:30 (13:30),Ponferradina,1–0,Lugo,4390,Estadio El Toralín,Víctor Areces,Match Report,Required Extra Time
,,,,,,,,,,,,
Round of 32,,Wed,2015-10-28,20:30 (14:30),Villanovense,0–0,Barcelona,8000,Estadio Romero Cuerda,Eduardo Prieto,Match Report,Leg 1 of 2
Round of 32,,Tue,2015-12-01,20:00 (13:00),Reus,1–2,Atlético Madrid,4300,Estadio Camp Nou Municipal,David Fernández,Match Report,Leg 1 of 2
Round of 32,,Tue,2015-12-01,21:00 (14:00),Leganés,2–1,Granada,3425,Estadio Municipal de Butarque,Carlos Clos Gómez,Match Report,Leg 1 of 2
Round of 32,,Wed,2015-12-02,20:00 (13:00),Barcelona,6–1,Villanovense,67703,Camp Nou,Pedro Pérez,Match Report,Leg 2 of 2; Barcelona won
Round of 32,,Wed,2015-12-02,21:00 (14:00),UD Logroñés,0–3,Sevilla,5314,Estadio Nuevo Municipal Las Gaunas,Alejandro Hernández,Match Report,Leg 1 of 2
Round of 32,,Wed,2015-12-02,21:00 (14:00),Betis,2–0,Sporting Gijón,21036,Estadio Benito Villamarín,Iñaki Bikandi,Match Report,Leg 1 of 2
Round of 32,,Wed,2015-12-02,21:00 (14:00),Almería,1–3,Celta Vigo,3798,Estadio de los Juegos Mediterráneos,Jesús Gil,Match Report,Leg 1 of 2
Round of 32,,Wed,2015-12-02,21:00 (14:00),Barakaldo,1–3,Valencia,5200,Estadio Nuevo Lasesarre,Eduardo Prieto,Match Report,Leg 1 of 2
Round of 32,,Wed,2015-12-02,21:00 (14:00),Rayo Vallecano,2–0,Getafe,7268,Estadio del Rayo Vallecano,Mario Melero,Match Report,Leg 1 of 2
Round of 32,,Wed,2015-12-02,21:00 (14:00),Llagostera,1–2,La Coruña,1805,Estadi Municipal Palamós Costa Brava,Juan Martínez,Match Report,Leg 1 of 2
Round of 32,,Wed,2015-12-02,22:00 (15:00),Cádiz,1–3,Real Madrid,20000,Estadio Ramón de Carranza,Ricardo de Burgos,Match Report,Leg 1 of 2
Round of 32,,Thu,2015-12-03,20:00 (13:00),Linense,0–2,Athletic Bilbao,9000,Estadio Municipal,Carlos Velasco,Match Report,Leg 1 of 2
Round of 32,,Thu,2015-12-03,21:00 (14:00),Mirandés,2–1,Málaga,2639,Estadio Municipal de Anduva,José Sánchez,Match Report,Leg 1 of 2
Round of 32,,Thu,2015-12-03,21:00 (14:00),Ponferradina,3–0,Eibar,5000,Estadio El Toralín,Santiago Jaime,Match Report,Leg 1 of 2
Round of 32,,Thu,2015-12-03,21:00 (14:00),Levante,1–1,Espanyol,14875,Estadio Ciudad de Valencia,Ignacio Iglesias,Match Report,Leg 1 of 2
Round of 32,,Thu,2015-12-03,21:00 (14:00),Huesca,3–2,Villarreal,5000,Estadio El Alcoraz,Carlos del Cerro,Match Report,Leg 1 of 2
Round of 32,,Thu,2015-12-03,21:00 (15:00),Las Palmas,2–1,Real Sociedad,18461,Estadio de Gran Canaria,Alfonso Álvarez,Match Report,Leg 1 of 2
Round of 32,,Tue,2015-12-15,20:00 (13:00),La Coruña,1–1,Llagostera,11408,Estadio Municipal de Riazor,Iñaki Bikandi,Match Report,Leg 2 of 2; La Coruña won
Round of 32,,Tue,2015-12-15,20:00 (13:00),Sporting Gijón,3–3,Betis,12642,Estadio Municipal El Molinón,José González,Match Report,Leg 2 of 2; Betis won
Round of 32,,Tue,2015-12-15,21:00 (14:00),Sevilla,2–0,UD Logroñés,14666,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,Leg 2 of 2; Sevilla won
Round of 32,,Tue,2015-12-15,21:00 (14:00),Espanyol,2–1,Levante,8642,RCDE Stadium,Carlos del Cerro,Match Report,Leg 2 of 2; Espanyol won
Round of 32,,Wed,2015-12-16,20:00 (13:00),Eibar,4–0,Ponferradina,3079,Estadio Municipal de Ipurúa,Carlos Clos Gómez,Match Report,Leg 2 of 2; Eibar won
Round of 32,,Wed,2015-12-16,20:00 (13:00),Athletic Bilbao,6–0,Linense,15000,San Mamés,Javier Estrada,Match Report,Leg 2 of 2; Athletic Bilbao won
Round of 32,,Wed,2015-12-16,20:00 (13:00),Getafe,3–1,Rayo Vallecano,5000,Coliseum Alfonso Pérez,Juan Martínez,Match Report,Leg 2 of 2; Rayo Vallecano won
Round of 32,,Wed,2015-12-16,21:00 (14:00),Málaga,0–1,Mirandés,10000,Estadio La Rosaleda,Ignacio Iglesias,Match Report,Leg 2 of 2; Mirandés won
Round of 32,,Wed,2015-12-16,21:00 (14:00),Real Madrid,,Cádiz,,,,Match Report,Leg 2 of 2; Cádiz won; Match Cancelled
Round of 32,,Wed,2015-12-16,21:00 (14:00),Valencia,2–0,Barakaldo,15000,Estadio de Mestalla,Mario Melero,Match Report,Leg 2 of 2; Valencia won
Round of 32,,Wed,2015-12-16,21:00 (14:00),Real Sociedad,1–1,Las Palmas,14478,Estadio Municipal de Anoeta,David Fernández,Match Report,Leg 2 of 2; Las Palmas won
Round of 32,,Thu,2015-12-17,20:00 (13:00),Celta Vigo,1–0,Almería,8581,Estadio de Balaídos,Santiago Jaime,Match Report,Leg 2 of 2; Celta Vigo won
Round of 32,,Thu,2015-12-17,20:00 (13:00),Atlético Madrid,1–0,Reus,18000,Estadio Vicente Calderón,Alberto Undiano,Match Report,Leg 2 of 2; Atlético Madrid won
Round of 32,,Thu,2015-12-17,21:00 (14:00),Villarreal,2–0,Huesca,9000,Estadio de la Cerámica,Ricardo de Burgos,Match Report,Leg 2 of 2; Villarreal won
Round of 32,,Thu,2015-12-17,21:00 (14:00),Granada,1–0,Leganés,13854,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Leganés won
Round of 16,,Wed,2016-01-06,12:00 (05:00),Athletic Bilbao,3–2,Villarreal,31456,San Mamés,Carlos Clos Gómez,Match Report,Leg 1 of 2
Round of 16,,Wed,2016-01-06,16:00 (09:00),Mirandés,1–1,La Coruña,1963,Estadio Municipal de Anduva,Eduardo Prieto,Match Report,Leg 1 of 2
Round of 16,,Wed,2016-01-06,16:00 (09:00),Valencia,4–0,Granada,15000,,Jesús Gil,Match Report,Leg 1 of 2
Round of 16,,Wed,2016-01-06,18:15 (11:15),Betis,0–2,Sevilla,36832,Estadio Benito Villamarín,Carlos del Cerro,Match Report,Leg 1 of 2
Round of 16,,Wed,2016-01-06,20:30 (13:30),Barcelona,4–1,Espanyol,76667,Camp Nou,Juan Martínez,Match Report,Leg 1 of 2
Round of 16,,Wed,2016-01-06,22:05 (15:05),Rayo Vallecano,1–1,Atlético Madrid,5223,Estadio del Rayo Vallecano,Santiago Jaime,Match Report,Leg 1 of 2
Round of 16,,Thu,2016-01-07,20:30 (13:30),Cádiz,0–3,Celta Vigo,10000,Estadio Ramón de Carranza,Alberto Undiano,Match Report,Leg 1 of 2
Round of 16,,Thu,2016-01-07,20:30 (13:30),Eibar,2–3,Las Palmas,4536,Estadio Municipal de Ipurúa,Alfonso Álvarez,Match Report,Leg 1 of 2
Round of 16,,Tue,2016-01-12,20:30 (13:30),Sevilla,4–0,Betis,36812,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Sevilla won
Round of 16,,Tue,2016-01-12,20:30 (13:30),La Coruña,0–3,Mirandés,11393,Estadio Municipal de Riazor,Alejandro Hernández,Match Report,Leg 2 of 2; Mirandés won
Round of 16,,Wed,2016-01-13,20:30 (13:30),Villarreal,0–1,Athletic Bilbao,15000,Estadio de la Cerámica,Carlos Velasco,Match Report,Leg 2 of 2; Athletic Bilbao won
Round of 16,,Wed,2016-01-13,20:30 (13:30),Celta Vigo,2–0,Cádiz,5695,Estadio de Balaídos,José Sánchez,Match Report,Leg 2 of 2; Celta Vigo won
Round of 16,,Wed,2016-01-13,20:00 (14:00),Las Palmas,3–2,Eibar,13588,Estadio de Gran Canaria,Pedro Pérez,Match Report,Leg 2 of 2; Las Palmas won
Round of 16,,Wed,2016-01-13,21:00 (14:00),Espanyol,0–2,Barcelona,20843,RCDE Stadium,David Fernández,Match Report,Leg 2 of 2; Barcelona won
Round of 16,,Thu,2016-01-14,20:00 (13:00),Granada,0–3,Valencia,9416,Estadio Nuevo Los Cármenes,Javier Estrada,Match Report,Leg 2 of 2; Valencia won
Round of 16,,Thu,2016-01-14,20:30 (13:30),Atlético Madrid,3–0,Rayo Vallecano,28000,Estadio Vicente Calderón,José González,Match Report,Leg 2 of 2; Atlético Madrid won
Quarter-finals,,Wed,2016-01-20,20:30 (13:30),Celta Vigo,0–0,Atlético Madrid,17428,Estadio de Balaídos,Javier Estrada,Match Report,Leg 1 of 2
Quarter-finals,,Wed,2016-01-20,21:00 (14:00),Athletic Bilbao,1–2,Barcelona,53000,San Mamés,José González,Match Report,Leg 1 of 2
Quarter-finals,,Thu,2016-01-21,20:00 (13:00),Valencia,1–1,Las Palmas,10000,Estadio de Mestalla,Carlos del Cerro,Match Report,Leg 1 of 2
Quarter-finals,,Thu,2016-01-21,21:00 (14:00),Sevilla,2–0,Mirandés,25341,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,Leg 1 of 2
Quarter-finals,,Wed,2016-01-27,20:30 (13:30),Atlético Madrid,2–3,Celta Vigo,36852,Estadio Vicente Calderón,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Celta Vigo won
Quarter-finals,,Wed,2016-01-27,21:30 (14:30),Barcelona,3–1,Athletic Bilbao,63405,Camp Nou,Alejandro Hernández,Match Report,Leg 2 of 2; Barcelona won
Quarter-finals,,Thu,2016-01-28,20:00 (13:00),Mirandés,0–3,Sevilla,4426,Estadio Municipal de Anduva,Iñaki Bikandi,Match Report,Leg 2 of 2; Sevilla won
Quarter-finals,,Thu,2016-01-28,20:00 (14:00),Las Palmas,0–1,Valencia,18206,Estadio de Gran Canaria,David Fernández,Match Report,Leg 2 of 2; Valencia won
Semi-finals,,Wed,2016-02-03,21:00 (14:00),Barcelona,7–0,Valencia,60635,Camp Nou,Ignacio Iglesias,Match Report,Leg 1 of 2
