Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Wed,2017-08-30,18:00 (11:00),Calahorra,1–0,Real Unión,500,Estadio La Planilla,David Recio,Match Report,
First Round,Wed,2017-08-30,19:00 (12:00),Peña Sport,1–2,CD Mirandés,,Campo San Francisco,Jon González,Match Report,
First Round,Wed,2017-08-30,19:00 (12:00),Badalona,(1) 2–2 (3),Elche,,Estadi Municipal de Badalona,Alejandro Sánchez,Match Report,Elche won on penalty kicks following extra time
First Round,Wed,2017-08-30,20:00 (13:00),SD Leioa,2–1,Santander,,Estadio Sarriena,Ángel Hernández Lorenzo,Match Report,
First Round,Wed,2017-08-30,20:00 (13:00),Gim. Segoviana,2–0,Pontevedra,,Estadio Municipal de La Albuera,Alberto Fuente Martín,Match Report,
First Round,Wed,2017-08-30,20:15 (13:15),Gimnastica,0–3,Durango,,Estadio el Malecón,Carlos Fernández Buergo,Match Report,
First Round,Wed,2017-08-30,20:30 (13:30),Lleida,1–0,Melilla,,Camp d'Esports de Lleida,Miguel Bosch,Match Report,
First Round,Wed,2017-08-30,20:30 (13:30),Olímpic Xàtiva,(4) 1–1 (5),Olot,,Estadio La Murta,Mohamed Massat,Match Report,Olot won on penalty kicks following extra time
First Round,Wed,2017-08-30,20:30 (13:30),Real Murcia,3–1,Cacereño,,Estadio Nueva Condomina,Luis Montero,Match Report,
First Round,Wed,2017-08-30,20:30 (13:30),Ponferradina,2–0,Bouzas,,Estadio El Toralín,David Gálvez,Match Report,
First Round,Wed,2017-08-30,20:30 (13:30),UD Logroñés,4–0,Real Avilés,,Estadio Nuevo Municipal Las Gaunas,César Díez,Match Report,
First Round,Wed,2017-08-30,20:45 (13:45),Majadahonda,0–1,Unión Adarve,,Miniestadio Cerro del Espino,Antonio Sánchez,Match Report,
First Round,Wed,2017-08-30,20:45 (13:45),Antequera,2–0,Arcos,,Estadio El Maulí,Antonio Santos,Match Report,
First Round,Wed,2017-08-30,21:00 (14:00),CF Lorca Dep,3–1,Villanovense,,Estadio Francisco Artés Carrasco,José Guzmán,Match Report,
First Round,Wed,2017-08-30,20:30 (14:30),San Fernando,1–2,Marbella,,Estadio Municipal de Maspalomas,Pedro Muñoz,Match Report,Required Extra Time
First Round,Wed,2017-08-30,21:30 (14:30),Cartagena,2–1,UCAM Murcia,,Estadio Municipal Cartagonova,Francisco Miralles Selma,Match Report,Required Extra Time
First Round,Thu,2017-08-31,20:45 (13:45),Talavera,1–0,Toledo,,Estadio El Prado,Alejandro Muñíz,Match Report,
Second Round,Tue,2017-09-05,18:45 (11:45),Gimnàstic,(1) 1–1 (3),Lugo,3121,Nou Estadi de Tarragona,Santiago Varón,Match Report,Lugo won on penalty kicks following extra time
Second Round,Tue,2017-09-05,18:45 (11:45),Cádiz,1–0,Almería,11530,Estadio Ramón de Carranza,Dámaso Arcediano,Match Report,
Second Round,Wed,2017-09-06,19:00 (12:00),Olot,1–0,Alcoyano,735,Camp Municipal d'Olot,Antonio Soláns,Match Report,Required Extra Time
Second Round,Wed,2017-09-06,20:00 (13:00),Oviedo,0–1,Numancia,10574,Estadio Nuevo Carlos Tartiere,José López,Match Report,
Second Round,Wed,2017-09-06,20:00 (13:00),Lorca FC,2–4,Córdoba,3726,Estadio Francisco Artés Carrasco,Oliver De La Fuente,Match Report,
First Round,Wed,2017-09-06,20:00 (13:00),SD Formentera,(5) 1–1 (4),Tarazona,,Estadio Municipal,Pere Barceló Roca,Match Report,SD Formentera won on penalty kicks following extra time
Second Round,Wed,2017-09-06,20:00 (13:00),Marbella,1–2,Gim. Segoviana,,Estadio Municipal de Marbella,Juan Campos,Match Report,
Second Round,Wed,2017-09-06,20:00 (13:00),Reus,0–1,Sporting Gijón,2753,Estadio Camp Nou Municipal,Daniel Ocón,Match Report,
Second Round,Wed,2017-09-06,20:30 (13:30),Mallorca,(3) 0–0 (4),Lleida,,Iberostar Estadi,Iván Caparrós,Match Report,Lleida won on penalty kicks following extra time
Second Round,Wed,2017-09-06,20:30 (13:30),Fuenlabrada,2–0,Mérida,,Estadio Fernando Torres,Ricardo Escudero,Match Report,
Second Round,Wed,2017-09-06,20:30 (13:30),Ponferradina,1–0,Atl Baleares,2500,Estadio El Toralín,Óscar Martínez,Match Report,
Second Round,Wed,2017-09-06,20:30 (13:30),Calahorra,2–0,SD Leioa,,Estadio La Planilla,Julio Leo,Match Report,Required Extra Time
Second Round,Wed,2017-09-06,20:30 (13:30),UD Logroñés,(8) 0–0 (7),Unión Adarve,1000,Estadio Nuevo Municipal Las Gaunas,Xabier Gómez,Match Report,UD Logroñés won on penalty kicks following extra time
Second Round,Wed,2017-09-06,20:45 (13:45),Talavera,3–1,Antequera,2500,Estadio El Prado,Jerónimo Montes,Match Report,
Second Round,Wed,2017-09-06,20:45 (13:45),Elche,3–2,Durango,7115,Estadio Manuel Martínez Valero,José Antonio Sánchez,Match Report,Required Extra Time
Second Round,Wed,2017-09-06,21:00 (14:00),Hércules,2–1,CF Lorca Dep,3500,Estadio José Rico Pérez,Pedro Sureda,Match Report,Required Extra Time
Second Round,Wed,2017-09-06,21:00 (14:00),Cartagena,2–1,CD Mirandés,5900,Estadio Municipal Cartagonova,Daniel Yuste,Match Report,
Second Round,Wed,2017-09-06,21:00 (14:00),Huesca,0–2,Valladolid,2971,Estadio El Alcoraz,Álvaro Moreno,Match Report,
Second Round,Wed,2017-09-06,21:30 (14:30),Real Murcia,4–1,Ferrol,4325,Estadio Nueva Condomina,Sergio Escriche,Match Report,
Second Round,Wed,2017-09-06,22:00 (15:00),Rayo Vallecano,0–3,Tenerife,7286,Estadio del Rayo Vallecano,Eduardo Prieto,Match Report,
Second Round,Wed,2017-09-06,22:00 (15:00),Zaragoza,3–0,Granada,10221,Estadio de la Romareda,Rubén Eiriz,Match Report,
Second Round,Thu,2017-09-07,20:00 (13:00),Alcorcón,2–4,Cultural Leonesa,2433,Estadio Santo Domingo,Iñaki Bikandi,Match Report,
Second Round,Thu,2017-09-07,22:00 (15:00),Osasuna,3–2,Albacete,7674,Estadio El Sadar,Víctor Areces,Match Report,Required Extra Time
Third Round,Tue,2017-09-19,20:00 (13:00),Sporting Gijón,(1) 1–1 (3),Numancia,13076,Estadio Municipal El Molinón,Aitor Gorostegui,Match Report,Numancia won on penalty kicks following extra time
Third Round,Wed,2017-09-20,20:00 (13:00),Córdoba,1–4,Tenerife,6857,Estadio Nuevo Arcángel,Jorge Valdés Aller,Match Report,
Third Round,Wed,2017-09-20,20:00 (13:00),SD Formentera,4–3,UD Logroñés,1500,Estadio Municipal,Rubén Ávalos,Match Report,Required Extra Time
Third Round,Wed,2017-09-20,20:15 (13:15),Gim. Segoviana,0–1,Ponferradina,1818,Estadio Municipal de La Albuera,Miguel Ángel Ortiz Arias,Match Report,
Third Round,Wed,2017-09-20,20:30 (13:30),Calahorra,1–3,Fuenlabrada,,Estadio La Planilla,Ibai Rezola,Match Report,
Third Round,Wed,2017-09-20,20:45 (13:45),Talavera,0–1,Cartagena,4500,Estadio El Prado,Guillermo Conejero Sánchez,Match Report,Required Extra Time
Third Round,Wed,2017-09-20,21:00 (14:00),Hércules,0–1,Elche,1200,Estadio José Rico Pérez,Sebastián Sebastián Ripoll,Match Report,
Third Round,Wed,2017-09-20,21:00 (14:00),Cádiz,1–0,Osasuna,12451,Estadio Ramón de Carranza,Saúl Ais,Match Report,
Third Round,Wed,2017-09-20,21:30 (14:30),Real Murcia,3–1,Olot,6327,Estadio Nueva Condomina,Julio Gimeno,Match Report,
Third Round,Thu,2017-09-21,20:00 (13:00),Cultural Leonesa,0–4,Valladolid,7484,Estadio Municipal Reino de León,David Pérez,Match Report,
Third Round,Thu,2017-09-21,21:00 (14:00),Zaragoza,1–0,Lugo,11955,Estadio de la Romareda,Adrián Cordero,Match Report,
Round of 32,Tue,2017-10-24,19:30 (12:30),Cartagena,0–3,Sevilla,7550,Estadio Municipal Cartagonova,Daniel Trujillo,Match Report,Leg 1 of 2
Round of 32,Tue,2017-10-24,19:30 (12:30),Numancia,2–1,Málaga,3403,Nuevo Estadio Los Pajaritos,Alfonso Álvarez,Match Report,Leg 1 of 2
Round of 32,Tue,2017-10-24,20:30 (13:30),Getafe,0–1,Alavés,7731,Coliseum Alfonso Pérez,David Fernández,Match Report,Leg 1 of 2
Round of 32,Tue,2017-10-24,20:30 (13:30),Zaragoza,0–2,Valencia,16174,Estadio de la Romareda,David Medié,Match Report,Leg 1 of 2
Round of 32,Tue,2017-10-24,21:30 (14:30),Real Murcia,0–3,Barcelona,16127,Estadio Nueva Condomina,José Luis Munuera,Match Report,Leg 1 of 2
Round of 32,Tue,2017-10-24,21:30 (14:30),Cádiz,1–2,Betis,14977,Estadio Ramón de Carranza,Alberola Rojas,Match Report,Leg 1 of 2
