Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sun,2014-08-10,16:00 (09:00),ASD Como,5–0,SS Matelica,600,Stadio Giuseppe Sinigaglia,Andrea Capone,Match Report,
First Round,Sun,2014-08-10,16:00 (09:00),Benevento,2–0,Correggese,1000,Stadio Ciro Vigorito,Daniele Viotti,Match Report,
First Round,Sun,2014-08-10,17:00 (10:00),SS Monza 1912,2–1,Olginatese,540,Stadio Comunale Brianteo,Alessandro Pietropaolo,Match Report,
First Round,Sun,2014-08-10,17:00 (10:00),Südtirol,3–2,Teramo,650,Stadio Marco Druso,Daniele Rasia,Match Report,
First Round,Sun,2014-08-10,17:30 (10:30),US Reggina,0–1,Casertana,2000,Stadio Oreste Granillo,Salvatore Guarino,Match Report,
First Round,Sun,2014-08-10,18:00 (11:00),Venezia FC,5–1,Taranto,800,Stadio Pierluigi Penzo,Pierantonio Perotti,Match Report,
First Round,Sun,2014-08-10,18:00 (11:00),Cremonese,3–2,Cosenza,1533,Stadio Giovanni Zin,Luigi Rossi,Match Report,
First Round,Sun,2014-08-10,18:30 (11:30),AlbinoLeffe,0–1,Renate,500,Stadio Atleti Azzurri d'Italia,Luca Candeo,Match Report,
First Round,Sun,2014-08-10,19:00 (12:00),FeralpiSalò,1–0,Santarcangelo,350,Stadio Lino Turina,Antonio Giua,Match Report,
First Round,Sun,2014-08-10,19:00 (12:00),L'Aquila,2–1,Altovicentino,702,Stadio Comunale Tommaso Fatttori,Vincenzo Fiorini,Match Report,Required Extra Time
First Round,Sun,2014-08-10,20:00 (13:00),Vicenza,1–2,Bassano Virtus,2556,Stadio Romeo Menti,Enzo Vesprini,Match Report,
First Round,Sun,2014-08-10,20:30 (13:30),Alessandria,1–0,Salernitana,2406,Stadio Arechi,Livio Marinelli,Match Report,
First Round,Sun,2014-08-10,20:30 (13:30),AC Pisa,4–0,RapallloBogl,3000,Arena Garibaldi - Stadio Romeo Anconetan...,Alfonso D'Apice,Match Report,
First Round,Sun,2014-08-10,20:30 (13:30),Catanzaro,2–0,Akragas,3171,Stadio Nicola Ceravolo,Pasquale Boggi,Match Report,
First Round,Sun,2014-08-10,20:30 (13:30),Savona FBC,6–0,Terracina,600,Stadio Valerio Bacigalupo,Federico Sassoli,Match Report,
First Round,Sun,2014-08-10,20:45 (13:45),Pontedera,3–1,Messina,700,Stadio Ettore Mannucci,Francesco Guccini,Match Report,
First Round,Sun,2014-08-10,20:45 (13:45),Lecce,5–0,Foligno,3840,Stadio Comunale Via Del Mare,Edoardo Paolini,Match Report,
First Round,Sun,2014-08-10,20:45 (13:45),Juve Stabia,1–0,Prato,2650,Stadio Comunale Romeo Menti,Andrea Morreale,Match Report,
