Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2016-08-19,20:45 (13:45),Ravensburg,0–2,Augsburg,6000,GEBERIT-Arena,Benedikt Kempkes,Match Report,
First Round,Fri,2016-08-19,20:45 (13:45),Lübeck,0–3,St. Pauli,13300,Stadion an der Lohmühle,Martin Thomsen,Match Report,
First Round,Fri,2016-08-19,20:45 (13:45),Carl Zeiss Jena,0–5,Bayern Munich,19000,Ernst-Abbe-Sportfeld,Harm Osmers,Match Report,
First Round,Sat,2016-08-20,15:30 (08:30),W'burg Kickers,1–0,Braunschweig,6384,flyeralarm Arena,Jochen Drees,Match Report,Required Extra Time
First Round,Sat,2016-08-20,15:30 (08:30),Babelsberg,0–4,Freiburg,6341,Karl-Liebknecht-Stadion,René Rohde,Match Report,
First Round,Sat,2016-08-20,15:30 (08:30),Villingen,1–4,Schalke 04,14400,Schwarzwald-Stadion,Patrick Alt,Match Report,
First Round,Sat,2016-08-20,15:30 (08:30),Viktoria Köln,(6) 1–1 (7),Nürnberg,4787,Sportpark Höhenberg,Daniel Schlager,Match Report,Nürnberg won on penalty kicks following extra time
First Round,Sat,2016-08-20,15:30 (08:30),BFC Preußen,0–7,Köln,6318,Stadion An der Alten Försterei,Alexander Sather,Match Report,
First Round,Sat,2016-08-20,15:30 (08:30),RW Essen,(4) 2–2 (5),Arminia,17500,Stadion Essen,Christian Dingert,Match Report,Arminia won on penalty kicks following extra time
First Round,Sat,2016-08-20,15:30 (08:30),Dynamo Dres,(5) 2–2 (4),RB Leipzig,29222,DDV-Stadion,Felix Brych,Match Report,Dynamo Dres won on penalty kicks following extra time
First Round,Sat,2016-08-20,15:30 (08:30),Hallescher,4–3,Kaiserslautern,10021,ERDGAS Sportpark,Bibiana Steinhaus,Match Report,Required Extra Time
First Round,Sat,2016-08-20,15:30 (08:30),Drochtersen/A,0–1,M'gladbach,7000,Kehdinger Stadion,Matthias Jöllenbeck,Match Report,
First Round,Sat,2016-08-20,18:30 (11:30),Homburg,0–3,Stuttgart,10800,Waldstadion Homburg,Robert Hartmann,Match Report,
First Round,Sat,2016-08-20,18:30 (11:30),1860 Munich,2–1,Karlsruher,16800,Allianz Arena,Sascha Stegemann,Match Report,
First Round,Sat,2016-08-20,18:30 (11:30),Hansa Rostock,0–3,Düsseldorf,18100,Ostseestadion,Frank Willenborg,Match Report,
First Round,Sat,2016-08-20,20:45 (13:45),FSV Frankfurt,1–2,Wolfsburg,5050,Frankfurter Volksbank Stadion,Wolfgang Stark,Match Report,
First Round,Sun,2016-08-21,15:30 (08:30),Norderstedt,1–4,Greuther Fürth,3000,Edmund-Plambeck-Stadion,Benjamin Bläser,Match Report,
First Round,Sun,2016-08-21,15:30 (08:30),Hauenstein,1–2,Bayer,4000,Sportpark Husterhöhe,Florian Badstübner,Match Report,
First Round,Sun,2016-08-21,15:30 (08:30),Unterhaching,(2) 3–3 (4),Mainz 05,7000,Alpenbauer Sportpark,Aarne Aarnink,Match Report,Mainz 05 won on penalty kicks following extra time
First Round,Sun,2016-08-21,15:30 (08:30),MSV Duisburg,1–2,Union Berlin,14209,Schauinsland-Reisen-Arena,Marco Fritz,Match Report,Required Extra Time
First Round,Sun,2016-08-21,15:30 (08:30),Germania E/L,0–6,Hoffenheim,2585,August-Wenzel-Stadion,Marcel Schütz,Match Report,
First Round,Sun,2016-08-21,15:30 (08:30),Lotte,2–1,Werder Bremen,10056,FRIMO Stadion,Christian Dietz,Match Report,
First Round,Sun,2016-08-21,15:30 (08:30),Magdeburg,(3) 1–1 (4),Eint Frankfurt,24400,MDCC-Arena,Markus Schmidt,Match Report,Eint Frankfurt won on penalty kicks following extra time
First Round,Sun,2016-08-21,15:30 (08:30),Bremer SV,0–7,Darmstadt 98,1993,Stadion am Panzenberg,Lasse Koslowski,Match Report,
First Round,Sun,2016-08-21,15:30 (08:30),Astoria,4–3,Bochum,3000,FC-Astoria Stadion,Riem Hussein,Match Report,Required Extra Time
First Round,Sun,2016-08-21,18:30 (11:30),Erzgebirge Aue,(7) 0–0 (8),Ingolstadt 04,6650,Sparkassen-Erzgebirgsstadion,Sören Storks,Match Report,Ingolstadt 04 won on penalty kicks following extra time
First Round,Sun,2016-08-21,18:30 (11:30),Jahn R'burg,(3) 1–1 (5),Hertha BSC,12526,Continental Arena,Robert Kampka,Match Report,Hertha BSC won on penalty kicks following extra time
First Round,Sun,2016-08-21,18:30 (11:30),Wattenscheid,1–2,Heidenheim,3323,Lohrheidestadion,Timo Gerach,Match Report,
First Round,Mon,2016-08-22,18:30 (11:30),Zwickau,0–1,Hamburger SV,10134,Sportforum Sojus 31,Robert Kempter,Match Report,
First Round,Mon,2016-08-22,18:30 (11:30),Paderborn 07,1–2,Sandhausen,4436,Benteler-Arena,Martin Petersen,Match Report,
First Round,Mon,2016-08-22,18:30 (11:30),Offenbacher K,2–3,Hannover 96,10573,Sparda-Bank-Hessen-Stadion,Thorben Siewer,Match Report,Required Extra Time
First Round,Mon,2016-08-22,20:45 (13:45),Trier,0–3,Dortmund,10800,Moselstadion,Manuel Gräfe,Match Report,
,,,,,,,,,,,
Second Round,Tue,2016-10-25,18:30 (11:30),Freiburg,(3) 3–3 (4),Sandhausen,14600,Schwarzwald-Stadion,Tobias Stieler,Match Report,Sandhausen won on penalty kicks following extra time
Second Round,Tue,2016-10-25,18:30 (11:30),Dynamo Dres,0–1,Arminia,26819,DDV-Stadion,Robert Kampka,Match Report,
Second Round,Tue,2016-10-25,18:30 (11:30),Lotte,(4) 2–2 (3),Bayer,8763,FRIMO Stadion,Wolfgang Stark,Match Report,Lotte won on penalty kicks following extra time
Second Round,Tue,2016-10-25,18:30 (11:30),W'burg Kickers,(3) 0–0 (4),1860 Munich,12142,flyeralarm Arena,Markus Schmidt,Match Report,1860 Munich won on penalty kicks following extra time
Second Round,Tue,2016-10-25,20:45 (13:45),M'gladbach,2–0,Stuttgart,40452,Stadion im Borussia-Park,Günter Perl,Match Report,
Second Round,Tue,2016-10-25,20:45 (13:45),Hallescher,0–4,Hamburger SV,14004,ERDGAS Sportpark,Christian Dingert,Match Report,
Second Round,Tue,2016-10-25,20:45 (13:45),St. Pauli,0–2,Hertha BSC,29123,Millerntor-Stadion,Deniz Aytekin,Match Report,
Second Round,Tue,2016-10-25,20:45 (13:45),Eint Frankfurt,(4) 0–0 (1),Ingolstadt 04,6300,Commerzbank-Arena,Harm Osmers,Match Report,Eint Frankfurt won on penalty kicks following extra time
Second Round,Wed,2016-10-26,18:30 (11:30),Heidenheim,0–1,Wolfsburg,9200,Voith-Arena,Benjamin Brand,Match Report,
Second Round,Wed,2016-10-26,18:30 (11:30),Hannover 96,6–1,Düsseldorf,20500,HDI-Arena,Benjamin Cortus,Match Report,
Second Round,Wed,2016-10-26,18:30 (11:30),Greuther Fürth,2–1,Mainz 05,5975,Sportpark Ronhof Thomas Sommer,Guido Winkmann,Match Report,
Second Round,Wed,2016-10-26,18:30 (11:30),Astoria,1–0,Darmstadt 98,4000,FC-Astoria Stadion,Bibiana Steinhaus,Match Report,
Second Round,Wed,2016-10-26,20:45 (13:45),Bayern Munich,3–1,Augsburg,73500,Allianz Arena,Sascha Stegemann,Match Report,
