Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,1,Fri,2015-11-06,19:55 (13:55),Salford City,2–0,Notts County,1400,The Peninsula Stadium,Andy Madley,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Barwell,0–2,Welling United,843,Kirkby Road,Steve Rushton,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Millwall,3–1,Fylde,3445,The Den,Steve Martin,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Grimsby Town,5–1,St Albans City,2263,Blundell Park,Ryan Johnson,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Coventry City,1–2,Northampton,9124,City of Coventry Stadium,Darren Handley,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Crewe Alexandra,0–1,Eastleigh,3008,Alexandra Stadium,Carl Boyeson,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Sheffield Utd,3–0,Worcester City,11108,Bramall Lane,Simon Bennett,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Leyton Orient,6–1,Staines Town,2287,Matchroom Stadium,Robert Jones,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Burton Albion,0–3,P'borough Utd,2517,Pirelli Stadium,David Webb,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Doncaster,2–0,Stalybridge,3991,Keepmoat Stadium,Martin Coy,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Wealdstone,2–6,Colchester Utd,2440,St. George's Stadium,Brendan Malone,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Dover Athletic,1–2,Stourbridge,1392,The Perrys Crabble Stadium,Richard Martin,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Scunthorpe Utd,2–1,Southend United,3335,Glanford Park,Peter Bankes,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Altrincham,1–0,Barnsley,2571,The J. Davidson Stadium,Andy Haines,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Barnet,2–0,Blackpool,1869,The Hive Stadium,Kevin Johnson,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Cambridge Utd,1–0,Basingstoke,2974,The Cambs Glass Stadium,John Brooks,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Hartlepool Utd,1–0,Cheltenham,2287,The Northern Gas and Power Stadium,James Adcock,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Crawley Town,1–2,Luton Town,1929,Checkatrade.com Stadium,Nick Kinseley,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),AFC Wimbledon,1–2,FG Rovers,2465,Cherry Red Records Fans' Stadium,Graham Horwood,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Rochdale,3–1,Swindon Town,2060,Crown Oil Arena,Chris Sarginson,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Acc'ton Stanley,3–2,York City,1475,Wham Stadium,Fred Graham,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Portsmouth,2–1,Macclesfield,9834,Fratton Park,Lee Swabey,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Walsall,2–0,Fleetwood Town,2532,The Banks's Stadium,Ross Joyce,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Dag & Red,0–0,Morecambe,900,Chigwell Construction Stadium,Tim Robinson,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Bury,4–0,Wigan Athletic,3856,Gigg Lane,David Coote,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Mansfield Town,0–0,Oldham Athletic,2886,One Call Stadium,Tony Harrington,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Northwich Vic,1–1,Boreham Wood,502,Valley Road,Wayne Barratt,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Stevenage,3–0,Gillingham,1619,The Lamex Stadium,Trevor Kettle,Match Report,
First Round,1,Sat,2015-11-07,15:00 (09:00),Plymouth Argyle,0–2,Carlisle United,6005,Home Park,Charles Breakspear,Match Report,
First Round,1,Sun,2015-11-08,12:00 (06:00),Didcot Town,0–3,Exeter City,2707,NPower Loop Meadow Stadium,Chris Kavanagh,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),Maidstone Utd,0–1,Yeovil Town,2811,Gallagher Stadium,Michael Bull,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),Whitehawk,5–3,Lincoln City,1342,The Enclosed Ground,Constantine Hatzidakis,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),Gainsborough,0–1,Shrewsbury,2180,The Northolme,Darren Bond,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),Braintree Town,1–1,Oxford United,1248,Ironmongery Direct Stadium,Phil Gibbs,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),Aldershot Town,0–0,Bradford City,2640,Electrical Services Stadium,Ben Toner,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),Brackley Town,2–2,Newport County,1707,St. James' Park,Mark Haywood,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),Bristol Rovers,0–1,Chesham United,5181,Memorial Stadium,Andrew Davies,Match Report,
First Round,1,Sun,2015-11-08,14:00 (08:00),FC Halifax Town,0–4,Wycombe,1789,The Shay Stadium,Graham Salisbury,Match Report,
First Round,1,Sun,2015-11-08,15:00 (09:00),Port Vale,1–1,Maidenhead Utd,3977,Vale Park,Adrian Holmes,Match Report,
First Round,1,Mon,2015-11-09,19:45 (13:45),United of Man,1–4,Chesterfield,2916,Broadhurst Park,Oliver Langford,Match Report,
,,,,,,,,,,,,
