Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2017-11-03,19:45 (14:45),Port Vale,2–0,Oxford United,3443,Vale Park,Mark Heywood,Match Report,
First Round,Fri,2017-11-03,19:45 (14:45),Notts County,4–2,Bristol Rovers,4228,Meadow Lane Stadium,Graham Salisbury,Match Report,
First Round,Fri,2017-11-03,19:55 (14:55),Hyde United,0–4,MK Dons,3123,Ewen Fields,David Webb,Match Report,
First Round,Sat,2017-11-04,12:30 (07:30),SL Aquaforce,1–3,Mansfield Town,1700,Sheerien Park,Ben Toner,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),P'borough Utd,1–1,Tranmere Rovers,3750,ABAX Stadium,Charles Breakspear,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Gainsborough,0–6,Slough,1630,The Gainsborough Martin & Co Arena,Peter Wright,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Gillingham,2–1,Leyton Orient,3659,MEMS Priestfield Stadium,John Brooks,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Fylde,4–2,Kidderminster,1482,Mill Farm,Daniel Middleton,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Colchester Utd,0–1,Oxford City,1775,JobServe Community Stadium,Alan Young,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Cheltenham,2–4,Maidstone Utd,2799,Jonny-Rocks Stadium,Kevin Johnson,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Northampton,0–0,Scunthorpe Utd,2820,Sixfields Stadium,Robert Jones,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),FG Rovers,1–0,Macclesfield,1387,The New Lawn,Trevor Kettle,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Bradford City,2–0,Chesterfield,4747,Northern Commercials Stadium,Anthony Backhouse,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Hereford,1–0,Telford United,4712,Edgar Street Athletic Ground,Thomas Bramall,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Wigan Athletic,2–1,Crawley Town,3288,The DW Stadium,Martin Coy,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Plymouth Argyle,1–0,Grimsby Town,5137,Home Park,John Busby,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Stevenage,5–0,Nantwich Town,1436,The Lamex Stadium,Michael Salisbury,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Ebbsfleet Utd,2–6,Doncaster,2069,Stonebridge Road,Lee Collins,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Blackburn,3–1,Barnet,3710,Ewood Park,Carl Boyeson,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Yeovil Town,1–0,Southend United,2079,Huish Park Stadium,Craig Hicks,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Gateshead,2–0,Chelmsford,732,Gateshead International Stadium,Peter Gibbons,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Morecambe,3–0,Hartlepool Utd,2004,Globe Arena,Tom Nield,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Luton Town,1–0,Portsmouth,5333,Kenilworth Road Stadium,Seb Stockbridge,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Rochdale,4–0,Bromley,2241,Crown Oil Arena,Andrew Miller,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Shrewsbury,5–0,Aldershot Town,3859,Montgomery Waters Meadow,Ross Joyce,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Carlisle United,3–2,Oldham Athletic,3965,Brunton Park,Andy Haines,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Crewe Alexandra,2–1,Rotherham Utd,2597,Alexandra Stadium,Scott Oldham,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),AFC Wimbledon,1–0,Lincoln City,3394,Cherry Red Records Fans' Stadium,Andy Woolmer,Match Report,
First Round,Sat,2017-11-04,15:00 (10:00),Boreham Wood,2–1,Blackpool,1041,Meadow Park,Chris Sarginson,Match Report,
First Round,Sat,2017-11-04,17:15 (12:15),Newport County,2–1,Walsall,2701,Rodney Parade,Gavin Ward,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Guiseley,0–0,Acc'ton Stanley,1611,Nethermoor Park,Anthony Coggins,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Exeter City,3–1,Heybridge,3004,St. James' Park,Neil Hair,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Coventry City,2–0,Maidenhead Utd,3370,City of Coventry Stadium,Scott Duncan,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Charlton Ath,3–1,Truro City,4494,The Valley,Dean Whitestone,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Dartford,1–5,Swindon Town,2705,Princes Park,Darren Drysdale,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Solihull Moors,0–2,Wycombe,1544,Damson Park,Brett Huxtable,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Leatherhead,1–1,Billericay,1797,Fetcham Grove,Alan Dale,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Woking,1–1,Bury,1858,The Laithwaite Community Stadium,Darren England,Match Report,
First Round,Sun,2017-11-05,14:00 (08:00),Cambridge Utd,1–0,Sutton United,3070,The Cambs Glass Stadium,Darren Handley,Match Report,
First Round,Mon,2017-11-06,19:45 (13:45),Chorley,1–2,Fleetwood Town,3526,The Chorley Group Victory Park Stadium,Peter Bankes,Match Report,
First Round,Tue,2017-11-14,19:45 (13:45),Bury,0–3,Woking,1513,Gigg Lane,Ross Joyce,Match Report,
First Round,Tue,2017-11-14,19:45 (13:45),Scunthorpe Utd,1–0,Northampton,1880,Glanford Park,Andy Haines,Match Report,
