Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-16,21:00 (14:00),Athletic Bilbao,0.5,1–0,0.9,Barcelona,47693,San Mamés,Carlos del Cerro,Match Report,
1,Sat,2019-08-17,17:00 (10:00),Celta Vigo,1.0,1–3,1.5,Real Madrid,23566,Estadio de Balaídos,Javier Estrada,Match Report,
1,Sat,2019-08-17,19:00 (12:00),Valencia,2.2,1–1,1.3,Real Sociedad,41846,Estadio de Mestalla,Jesús Gil,Match Report,
1,Sat,2019-08-17,20:00 (13:00),Mallorca,1.6,2–1,0.7,Eibar,15127,Iberostar Estadi,Mario Melero,Match Report,
1,Sat,2019-08-17,21:00 (14:00),Leganés,1.1,0–1,0.2,Osasuna,10020,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
1,Sat,2019-08-17,21:00 (14:00),Villarreal,1.5,4–4,2.0,Granada,14753,Estadio de la Cerámica,Adrián Cordero,Match Report,
1,Sun,2019-08-18,17:00 (10:00),Alavés,0.4,1–0,0.6,Levante,12029,Estadio de Mendizorroza,César Soto,Match Report,
1,Sun,2019-08-18,19:00 (12:00),Espanyol,0.2,0–2,1.3,Sevilla,19832,RCDE Stadium,Juan Martínez,Match Report,
1,Sun,2019-08-18,21:00 (14:00),Betis,1.0,1–2,0.7,Valladolid,51497,Estadio Benito Villamarín,Santiago Jaime,Match Report,
1,Sun,2019-08-18,22:00 (15:00),Atlético Madrid,1.8,1–0,0.4,Getafe,55099,Estadio Wanda Metropolitano,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
2,Fri,2019-08-23,20:00 (13:00),Granada,0.6,0–1,0.7,Sevilla,15849,Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
2,Fri,2019-08-23,22:00 (15:00),Levante,2.0,2–1,2.8,Villarreal,20240,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
2,Sat,2019-08-24,17:00 (10:00),Osasuna,0.5,0–0,0.7,Eibar,13978,Estadio El Sadar,David Medié,Match Report,
2,Sat,2019-08-24,19:00 (12:00),Real Madrid,1.2,1–1,0.7,Valladolid,63037,Estadio Santiago Bernabéu,Pablo González,Match Report,
2,Sat,2019-08-24,21:00 (14:00),Celta Vigo,1.8,1–0,1.0,Valencia,20034,Estadio de Balaídos,Alejandro Hernández,Match Report,
2,Sat,2019-08-24,21:00 (14:00),Getafe,0.3,1–1,0.3,Athletic Bilbao,10103,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
2,Sun,2019-08-25,17:00 (10:00),Alavés,0.5,0–0,0.1,Espanyol,14567,Estadio de Mendizorroza,Eduardo Prieto,Match Report,
2,Sun,2019-08-25,17:00 (10:00),Mallorca,0.9,0–1,1.4,Real Sociedad,18028,Iberostar Estadi,Valentín Pizarro,Match Report,
2,Sun,2019-08-25,19:00 (12:00),Leganés,0.4,0–1,1.1,Atlético Madrid,11742,Estadio Municipal de Butarque,Ricardo de Burgos,Match Report,
2,Sun,2019-08-25,21:00 (14:00),Barcelona,1.8,5–2,0.2,Betis,79159,Camp Nou,José González,Match Report,
,,,,,,,,,,,,,
3,Fri,2019-08-30,20:00 (13:00),Sevilla,1.4,1–1,0.5,Celta Vigo,37787,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
3,Fri,2019-08-30,22:00 (15:00),Athletic Bilbao,0.8,2–0,0.2,Real Sociedad,46697,San Mamés,Javier Estrada,Match Report,
3,Sat,2019-08-31,17:00 (10:00),Osasuna,1.6,2–2,0.4,Barcelona,16742,Estadio El Sadar,Juan Martínez,Match Report,
3,Sat,2019-08-31,19:00 (12:00),Getafe,1.1,1–1,0.9,Alavés,10806,Coliseum Alfonso Pérez,Mario Melero,Match Report,
3,Sat,2019-08-31,19:00 (12:00),Levante,1.8,2–0,0.9,Valladolid,19347,Estadio Ciudad de Valencia,Adrián Cordero,Match Report,
3,Sat,2019-08-31,21:00 (14:00),Betis,1.5,2–1,1.2,Leganés,47819,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
3,Sun,2019-09-01,17:00 (10:00),Valencia,2.2,2–0,1.2,Mallorca,40441,Estadio de Mestalla,Alberola Rojas,Match Report,
3,Sun,2019-09-01,19:00 (12:00),Espanyol,1.0,0–3,1.3,Granada,20870,RCDE Stadium,César Soto,Match Report,
3,Sun,2019-09-01,19:00 (12:00),Atlético Madrid,1.8,3–2,0.5,Eibar,56664,Estadio Wanda Metropolitano,Santiago Jaime,Match Report,
3,Sun,2019-09-01,21:00 (14:00),Villarreal,1.5,2–2,1.7,Real Madrid,20128,Estadio de la Cerámica,Jesús Gil,Match Report,
,,,,,,,,,,,,,
4,Fri,2019-09-13,21:00 (14:00),Mallorca,1.6,0–0,1.3,Athletic Bilbao,16390,Iberostar Estadi,Pablo González,Match Report,
4,Sat,2019-09-14,13:00 (06:00),Real Madrid,2.7,3–2,0.7,Levante,60401,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
4,Sat,2019-09-14,16:00 (09:00),Leganés,0.6,0–3,0.9,Villarreal,7670,Estadio Municipal de Butarque,David Medié,Match Report,
4,Sat,2019-09-14,18:30 (11:30),Real Sociedad,1.4,2–0,0.9,Atlético Madrid,34719,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
4,Sat,2019-09-14,21:00 (14:00),Barcelona,2.0,5–2,1.3,Valencia,81617,Camp Nou,José Sánchez,Match Report,
4,Sun,2019-09-15,12:00 (05:00),Eibar,0.6,1–2,1.5,Espanyol,5410,Estadio Municipal de Ipurúa,Valentín Pizarro,Match Report,
4,Sun,2019-09-15,14:00 (07:00),Alavés,0.5,0–1,1.2,Sevilla,16309,Estadio de Mendizorroza,Alejandro Hernández,Match Report,
4,Sun,2019-09-15,16:00 (09:00),Celta Vigo,0.2,0–2,1.1,Granada,18259,Estadio de Balaídos,Eduardo Prieto,Match Report,
4,Sun,2019-09-15,18:30 (11:30),Valladolid,0.6,1–1,2.0,Osasuna,20670,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
4,Sun,2019-09-15,21:00 (14:00),Betis,1.0,1–1,1.5,Getafe,47884,Estadio Benito Villamarín,José González,Match Report,
,,,,,,,,,,,,,
5,Fri,2019-09-20,21:00 (14:00),Osasuna,1.5,0–0,0.3,Betis,15569,Estadio El Sadar,Carlos del Cerro,Match Report,
5,Sat,2019-09-21,13:00 (06:00),Villarreal,2.1,2–0,0.5,Valladolid,16195,Estadio de la Cerámica,César Soto,Match Report,
5,Sat,2019-09-21,16:00 (09:00),Levante,1.1,0–0,1.3,Eibar,18904,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
5,Sat,2019-09-21,18:30 (11:30),Atlético Madrid,1.3,0–0,0.5,Celta Vigo,57701,Estadio Wanda Metropolitano,Mario Melero,Match Report,
5,Sat,2019-09-21,21:00 (14:00),Granada,1.7,2–0,0.6,Barcelona,18880,Estadio Nuevo Los Cármenes,Guillermo Cuadra,Match Report,
5,Sun,2019-09-22,12:00 (05:00),Getafe,2.2,4–2,0.7,Mallorca,11338,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
5,Sun,2019-09-22,14:00 (07:00),Espanyol,1.0,1–3,1.2,Real Sociedad,19173,RCDE Stadium,Adrián Cordero,Match Report,
5,Sun,2019-09-22,16:00 (09:00),Valencia,1.4,1–1,0.8,Leganés,39014,Estadio de Mestalla,Javier Estrada,Match Report,
5,Sun,2019-09-22,18:30 (11:30),Athletic Bilbao,2.4,2–0,0.4,Alavés,45143,San Mamés,Jesús Gil,Match Report,
5,Sun,2019-09-22,21:00 (14:00),Sevilla,0.4,0–1,0.8,Real Madrid,42354,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
,,,,,,,,,,,,,
6,Tue,2019-09-24,19:00 (12:00),Valladolid,1.2,1–1,0.4,Granada,18410,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
6,Tue,2019-09-24,20:00 (13:00),Betis,2.7,3–1,1.2,Levante,44560,Estadio Benito Villamarín,Eduardo Prieto,Match Report,
6,Tue,2019-09-24,21:00 (14:00),Barcelona,0.8,2–1,0.6,Villarreal,70316,Camp Nou,Ricardo de Burgos,Match Report,
6,Wed,2019-09-25,19:00 (12:00),Mallorca,0.5,0–2,0.9,Atlético Madrid,19348,Iberostar Estadi,Alejandro Hernández,Match Report,
6,Wed,2019-09-25,19:00 (12:00),Leganés,0.4,1–1,1.1,Athletic Bilbao,11036,Estadio Municipal de Butarque,José González,Match Report,
6,Wed,2019-09-25,20:00 (13:00),Valencia,0.9,3–3,1.8,Getafe,37814,Estadio de Mestalla,José Luis Munuera,Match Report,
6,Wed,2019-09-25,21:00 (14:00),Real Madrid,1.4,2–0,0.1,Osasuna,57520,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
6,Thu,2019-09-26,19:00 (12:00),Eibar,1.5,3–2,1.6,Sevilla,5434,Estadio Municipal de Ipurúa,Pablo González,Match Report,
6,Thu,2019-09-26,20:00 (13:00),Celta Vigo,0.6,1–1,1.3,Espanyol,16361,Estadio de Balaídos,José Sánchez,Match Report,
6,Thu,2019-09-26,21:00 (14:00),Real Sociedad,3.4,3–0,0.2,Alavés,28720,Estadio Municipal de Anoeta,David Medié,Match Report,
,,,,,,,,,,,,,
7,Fri,2019-09-27,21:00 (14:00),Villarreal,2.8,5–1,0.9,Betis,18135,Estadio de la Cerámica,Javier Estrada,Match Report,
7,Sat,2019-09-28,13:00 (06:00),Athletic Bilbao,1.1,0–1,1.8,Valencia,42420,San Mamés,Mario Melero,Match Report,
7,Sat,2019-09-28,16:00 (09:00),Getafe,0.7,0–2,1.5,Barcelona,15135,Coliseum Alfonso Pérez,Jesús Gil,Match Report,
7,Sat,2019-09-28,18:30 (11:30),Granada,0.8,1–0,0.9,Leganés,15519,Estadio Nuevo Los Cármenes,Adrián Cordero,Match Report,
7,Sat,2019-09-28,21:00 (14:00),Atlético Madrid,0.5,0–0,0.4,Real Madrid,68032,Estadio Wanda Metropolitano,José González,Match Report,
7,Sun,2019-09-29,12:00 (05:00),Espanyol,1.2,0–2,1.6,Valladolid,20911,RCDE Stadium,Guillermo Cuadra,Match Report,
7,Sun,2019-09-29,14:00 (07:00),Eibar,0.9,2–0,0.9,Celta Vigo,5453,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
7,Sun,2019-09-29,16:00 (09:00),Alavés,1.8,2–0,0.1,Mallorca,17135,Estadio de Mendizorroza,Carlos del Cerro,Match Report,
7,Sun,2019-09-29,18:30 (11:30),Levante,1.3,1–1,1.2,Osasuna,19362,Estadio Ciudad de Valencia,César Soto,Match Report,
7,Sun,2019-09-29,21:00 (14:00),Sevilla,1.2,3–2,0.9,Real Sociedad,37414,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
8,Fri,2019-10-04,21:00 (14:00),Betis,1.6,1–1,1.3,Eibar,47056,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
8,Sat,2019-10-05,13:00 (06:00),Leganés,2.8,1–2,1.5,Levante,10160,Estadio Municipal de Butarque,José Luis Munuera,Match Report,
8,Sat,2019-10-05,16:00 (09:00),Real Madrid,2.2,4–2,1.5,Granada,70315,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
8,Sat,2019-10-05,18:30 (11:30),Valencia,1.4,2–1,1.2,Alavés,38943,Estadio de Mestalla,Eduardo Prieto,Match Report,
8,Sat,2019-10-05,21:00 (14:00),Osasuna,1.3,2–1,1.6,Villarreal,15349,Estadio El Sadar,Valentín Pizarro,Match Report,
8,Sun,2019-10-06,12:00 (05:00),Mallorca,0.6,2–0,1.2,Espanyol,15052,Iberostar Estadi,Ricardo de Burgos,Match Report,
8,Sun,2019-10-06,14:00 (07:00),Celta Vigo,1.7,1–0,0.2,Athletic Bilbao,19690,Estadio de Balaídos,David Medié,Match Report,
8,Sun,2019-10-06,16:00 (09:00),Valladolid,1.1,0–0,0.9,Atlético Madrid,23650,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
8,Sun,2019-10-06,18:30 (11:30),Real Sociedad,1.0,1–2,0.8,Getafe,30153,Estadio Municipal de Anoeta,Pablo González,Match Report,
8,Sun,2019-10-06,21:00 (14:00),Barcelona,1.9,4–0,1.6,Sevilla,81331,Camp Nou,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
9,Fri,2019-10-18,21:00 (14:00),Granada,0.4,1–0,0.9,Osasuna,16986,Estadio Nuevo Los Cármenes,Javier Estrada,Match Report,
9,Sat,2019-10-19,13:00 (06:00),Eibar,0.4,0–3,2.1,Barcelona,7295,Estadio Municipal de Ipurúa,Mario Melero,Match Report,
9,Sat,2019-10-19,16:00 (09:00),Atlético Madrid,1.7,1–1,0.6,Valencia,61603,Estadio Wanda Metropolitano,Adrián Cordero,Match Report,
9,Sat,2019-10-19,18:30 (11:30),Getafe,0.9,2–0,0.4,Leganés,13,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
9,Sat,2019-10-19,21:00 (14:00),Mallorca,0.2,1–0,0.9,Real Madrid,20275,Iberostar Estadi,Alberola Rojas,Match Report,
9,Sun,2019-10-20,12:00 (05:00),Alavés,1.8,2–0,1.0,Celta Vigo,16584,Estadio de Mendizorroza,José González,Match Report,
9,Sun,2019-10-20,14:00 (07:00),Real Sociedad,1.1,3–1,1.2,Betis,28032,Estadio Municipal de Anoeta,César Soto,Match Report,
9,Sun,2019-10-20,16:00 (09:00),Espanyol,0.9,0–1,1.2,Villarreal,20653,RCDE Stadium,Carlos del Cerro,Match Report,
9,Sun,2019-10-20,18:30 (11:30),Athletic Bilbao,1.2,1–1,0.8,Valladolid,37107,San Mamés,Jesús Gil,Match Report,
9,Sun,2019-10-20,21:00 (14:00),Sevilla,2.3,1–0,0.5,Levante,34612,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
