Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-08-17,20:00 (13:00),Cádiz,1–0,Almería,13582,Estadio Ramón de Carranza,Daniel Trujillo,Match Report,
Regular Season,1,Fri,2018-08-17,22:00 (15:00),Albacete,1–1,La Coruña,5934,Estadio Carlos Belmonte,Valentín Pizarro,Match Report,
Regular Season,1,Sat,2018-08-18,19:00 (12:00),Elche,0–0,Granada,11025,Estadio Manuel Martínez Valero,Santiago Varón,Match Report,
Regular Season,1,Sat,2018-08-18,19:30 (12:30),Lugo,1–2,Málaga,3290,Estadio Anxo Carro,Víctor Areces,Match Report,
Regular Season,1,Sat,2018-08-18,20:30 (13:30),Alcorcón,1–1,Sporting Gijón,2483,Estadio Santo Domingo,Jorge Figueroa,Match Report,
Regular Season,1,Sat,2018-08-18,22:00 (15:00),Córdoba,3–3,Numancia,11685,Estadio Nuevo Arcángel,Isidro Díaz de Mera,Match Report,
Regular Season,1,Sun,2018-08-19,19:00 (12:00),Oviedo,1–1,Extremadura,13315,Estadio Nuevo Carlos Tartiere,Javier Villanueva,Match Report,
Regular Season,1,Sun,2018-08-19,19:00 (12:00),Mallorca,1–0,Osasuna,9450,Iberostar Estadi,Dámaso Arcediano,Match Report,
Regular Season,1,Sun,2018-08-19,20:30 (13:30),Zaragoza,2–1,Majadahonda,18433,Estadio de la Romareda,César Soto,Match Report,
Regular Season,1,Sun,2018-08-19,21:00 (15:00),Las Palmas,2–0,Reus,12408,Estadio de Gran Canaria,Luis Milla,Match Report,
Regular Season,1,Mon,2018-08-20,20:00 (13:00),Gimnàstic,1–1,Tenerife,5483,Nou Estadi de Tarragona,Saúl Ais,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2018-08-24,22:00 (15:00),Extremadura,0–1,La Coruña,10827,Estadio Francisco de la Hera,Oliver De La Fuente,Match Report,
Regular Season,2,Fri,2018-08-24,22:00 (15:00),Málaga,1–0,Alcorcón,18626,Estadio La Rosaleda,Juan Pulido,Match Report,
Regular Season,2,Sat,2018-08-25,19:00 (12:00),Numancia,1–1,Cádiz,3251,Nuevo Estadio Los Pajaritos,Iñaki Bikandi,Match Report,
Regular Season,2,Sat,2018-08-25,19:00 (12:00),Reus,0–0,Zaragoza,6397,Estadio Camp Nou Municipal,José López,Match Report,
Regular Season,2,Sat,2018-08-25,19:30 (13:30),Las Palmas,1–1,Albacete,12457,Estadio de Gran Canaria,Rubén Ávalos,Match Report,
Regular Season,2,Sat,2018-08-25,22:00 (15:00),Córdoba,2–4,Oviedo,12754,Estadio Nuevo Arcángel,Gorka Sagues,Match Report,
Regular Season,2,Sun,2018-08-26,19:00 (12:00),Sporting Gijón,2–0,Gimnàstic,21586,Estadio Municipal El Molinón,David Pérez,Match Report,
Regular Season,2,Sun,2018-08-26,19:30 (12:30),Osasuna,1–1,Elche,14064,Estadio El Sadar,Daniel Ocón,Match Report,
Regular Season,2,Sun,2018-08-26,20:30 (13:30),Granada,1–1,Lugo,8307,Estadio Nuevo Los Cármenes,Aitor Gorostegui,Match Report,
Regular Season,2,Sun,2018-08-26,22:00 (15:00),Almería,1–1,Tenerife,6737,Estadio de los Juegos Mediterráneos,Isidro Díaz de Mera,Match Report,
Regular Season,2,Mon,2018-08-27,20:00 (13:00),Majadahonda,0–1,Mallorca,3424,Miniestadio Cerro del Espino,Abraham Domínguez,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2018-08-31,20:00 (13:00),Alcorcón,1–0,Mallorca,2428,Estadio Santo Domingo,Víctor Areces,Match Report,
Regular Season,3,Sat,2018-09-01,16:00 (09:00),Lugo,3–2,Numancia,2682,Estadio Anxo Carro,Luis Milla,Match Report,
Regular Season,3,Sat,2018-09-01,18:00 (11:00),Elche,0–2,Reus,10657,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,
Regular Season,3,Sat,2018-09-01,18:00 (11:00),Zaragoza,1–1,Las Palmas,22292,Estadio de la Romareda,Aitor Gorostegui,Match Report,
Regular Season,3,Sat,2018-09-01,19:00 (12:00),Cádiz,1–1,Oviedo,13888,Estadio Ramón de Carranza,Dámaso Arcediano,Match Report,
Regular Season,3,Sat,2018-09-01,19:30 (13:30),Tenerife,2–2,La Coruña,12139,Estadio Heliodoro Rodríguez Lopéz,Jorge Figueroa,Match Report,
Regular Season,3,Sun,2018-09-02,12:00 (05:00),Gimnàstic,0–1,Majadahonda,4854,Nou Estadi de Tarragona,Santiago Varón,Match Report,
Regular Season,3,Sun,2018-09-02,16:00 (09:00),Sporting Gijón,2–0,Extremadura,20652,Estadio Municipal El Molinón,César Soto,Match Report,
Regular Season,3,Sun,2018-09-02,20:00 (13:00),Albacete,3–0,Córdoba,7735,Estadio Carlos Belmonte,Álvaro Moreno,Match Report,
Regular Season,3,Sun,2018-09-02,21:00 (14:00),Granada,2–0,Osasuna,8713,Estadio Nuevo Los Cármenes,Daniel Trujillo,Match Report,
Regular Season,3,Mon,2018-09-03,21:00 (14:00),Almería,0–1,Málaga,8955,Estadio de los Juegos Mediterráneos,Valentín Pizarro,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2018-09-07,19:00 (13:00),Las Palmas,4–0,Gimnàstic,12119,Estadio Insular,Abraham Domínguez,Match Report,
Regular Season,4,Fri,2018-09-07,21:00 (14:00),Mallorca,1–0,Cádiz,8907,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
Regular Season,4,Sat,2018-09-08,16:00 (09:00),Osasuna,3–1,Almería,12765,Estadio El Sadar,David Pérez,Match Report,
Regular Season,4,Sat,2018-09-08,18:00 (11:00),Málaga,1–0,Tenerife,15408,Estadio La Rosaleda,Iñaki Bikandi,Match Report,
