Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-08-17,18:00 (11:00),Santander,0–1,Málaga,12516,Campos de Sport de El Sardinero,Aitor Gorostegui,Match Report,
1,Sat,2019-08-17,18:00 (11:00),Lugo,0–0,Extremadura,2841,Estadio Anxo Carro,Víctor Areces,Match Report,
1,Sat,2019-08-17,19:00 (12:00),Almería,3–0,Albacete,7395,Estadio de los Juegos Mediterráneos,Saúl Ais,Match Report,
1,Sat,2019-08-17,20:00 (13:00),Elche,0–2,Fuenlabrada,9128,Estadio Manuel Martínez Valero,Jon González,Match Report,
1,Sat,2019-08-17,21:00 (14:00),Zaragoza,2–0,Tenerife,17415,Estadio de la Romareda,Dámaso Arcediano,Match Report,
1,Sat,2019-08-17,21:00 (14:00),Rayo Vallecano,2–2,CD Mirandés,5876,Estadio del Rayo Vallecano,Juan Pulido,Match Report,
1,Sun,2019-08-18,18:00 (11:00),Numancia,0–1,Alcorcón,3124,Nuevo Estadio Los Pajaritos,Alejandro Muñíz,Match Report,
1,Sun,2019-08-18,18:00 (11:00),La Coruña,3–2,Oviedo,20474,Estadio Municipal de Riazor,Daniel Ocón,Match Report,
1,Sun,2019-08-18,18:30 (11:30),Girona,1–1,Sporting Gijón,8183,Estadi Municipal de Montilivi,Daniel Trujillo,Match Report,
1,Sun,2019-08-18,19:00 (13:00),Las Palmas,0–1,Huesca,10464,Estadio Insular,Jorge Figueroa,Match Report,
1,Sun,2019-08-18,20:00 (13:00),Cádiz,3–1,Ponferradina,15009,Estadio Ramón de Carranza,Álvaro Moreno,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-23,22:00 (15:00),Albacete,1–0,Girona,8292,Estadio Carlos Belmonte,Santiago Varón,Match Report,
2,Sat,2019-08-24,18:00 (11:00),Santander,1–1,Almería,11402,Campos de Sport de El Sardinero,Oliver De La Fuente,Match Report,
