Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2017-08-19,18:00 (11:00),Juventus,3–0,Cagliari,39226,Allianz Stadium,Fabio Maresca,Match Report,
1,Sat,2017-08-19,20:45 (13:45),Hellas Verona,1–3,Napoli,15215,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,
1,Sun,2017-08-20,18:00 (11:00),Atalanta,0–1,Roma,19108,Stadio Atleti Azzurri d'Italia,Piero Giacomelli,Match Report,
1,Sun,2017-08-20,20:45 (13:45),Crotone,0–3,Milan,13478,Stadio Ezio Scida,Maurizio Mariani,Match Report,
1,Sun,2017-08-20,20:45 (13:45),Inter,3–0,Fiorentina,51752,Stadio Giuseppe Meazza,Paolo Tagliavento,Match Report,
1,Sun,2017-08-20,20:45 (13:45),Sampdoria,2–1,Benevento,19223,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Match Report,
1,Sun,2017-08-20,20:45 (13:45),Lazio,0–0,SPAL,25000,Stadio Olimpico,Rosario Abisso,Match Report,
1,Sun,2017-08-20,20:45 (13:45),Bologna,1–1,Torino,19033,Stadio Renato Dall'Ara,Davide Massa,Match Report,
1,Sun,2017-08-20,20:45 (13:45),Udinese,1–2,Chievo,13000,Dacia Arena,Claudio Gavillucci,Match Report,
1,Sun,2017-08-20,20:45 (13:45),Sassuolo,0–0,Genoa,8134,Stadio Città del Tricolore,Antonio Damato,Match Report,
,,,,,,,,,,,
2,Sat,2017-08-26,18:00 (11:00),Genoa,2–4,Juventus,26296,Stadio Comunale Luigi Ferraris,Luca Banti,Match Report,
2,Sat,2017-08-26,18:00 (11:00),Benevento,0–1,Bologna,11054,Stadio Ciro Vigorito,Giampaolo Calvarese,Match Report,
2,Sat,2017-08-26,20:45 (13:45),Roma,1–3,Inter,49388,Stadio Olimpico,Massimiliano Irrati,Match Report,
2,Sun,2017-08-27,18:00 (11:00),Torino,3–0,Sassuolo,18289,Stadio Olimpico di Torino,Paolo Mazzoleni,Match Report,
2,Sun,2017-08-27,20:45 (13:45),Milan,2–1,Cagliari,49525,Stadio Giuseppe Meazza,Luca Pairetto,Match Report,
2,Sun,2017-08-27,20:45 (13:45),Crotone,0–0,Hellas Verona,9158,Stadio Ezio Scida,Marco Guida,Match Report,
2,Sun,2017-08-27,20:45 (13:45),SPAL,3–2,Udinese,11000,Stadio Paolo Mazza,Paolo Valeri,Match Report,
2,Sun,2017-08-27,20:45 (13:45),Napoli,3–1,Atalanta,35102,Stadio San Paolo,Marco Di Bello,Match Report,
2,Sun,2017-08-27,20:45 (13:45),Chievo,1–2,Lazio,10000,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
2,Sun,2017-08-27,20:45 (13:45),Fiorentina,1–2,Sampdoria,25611,Stadio Artemio Franchi,Daniele Doveri,Match Report,
,,,,,,,,,,,
3,Sat,2017-09-09,18:00 (11:00),Juventus,3–0,Chievo,39457,Allianz Stadium,Michael Fabbri,Match Report,
3,Sun,2017-09-10,12:30 (05:30),Inter,2–0,SPAL,57235,Stadio Giuseppe Meazza,Claudio Gavillucci,Match Report,
3,Sun,2017-09-10,15:00 (08:00),Cagliari,1–0,Crotone,14076,Stadio Sant'Elia,Daniele Doveri,Match Report,
3,Sun,2017-09-10,15:00 (08:00),Atalanta,2–1,Sassuolo,16120,Stadio Atleti Azzurri d'Italia,Gianluca Manganiello,Match Report,
3,Sun,2017-09-10,15:00 (08:00),Hellas Verona,0–5,Fiorentina,18181,Stadio Marc'Antonio Bentegodi,Antonio Damato,Match Report,
3,Sun,2017-09-10,15:00 (08:00),Udinese,1–0,Genoa,2370,Dacia Arena,Fabio Maresca,Match Report,
3,Sun,2017-09-10,16:00 (09:00),Lazio,4–1,Milan,30000,Stadio Olimpico,Gianluca Rocchi,Match Report,
3,Sun,2017-09-10,18:00 (11:00),Benevento,0–1,Torino,11416,Stadio Ciro Vigorito,Rosario Abisso,Match Report,
3,Sun,2017-09-10,20:45 (13:45),Bologna,0–3,Napoli,22398,Stadio Renato Dall'Ara,Piero Giacomelli,Match Report,
,,,,,,,,,,,
4,Sat,2017-09-16,15:00 (08:00),Crotone,0–2,Inter,13422,Stadio Ezio Scida,Luca Banti,Match Report,
4,Sat,2017-09-16,18:00 (11:00),Fiorentina,2–1,Bologna,23802,Stadio Artemio Franchi,Paolo Valeri,Match Report,
4,Sat,2017-09-16,20:45 (13:45),Roma,3–0,Hellas Verona,29045,Stadio Olimpico,Luca Pairetto,Match Report,
4,Sun,2017-09-17,12:30 (05:30),Sassuolo,1–3,Juventus,21584,Stadio Città del Tricolore,Davide Massa,Match Report,
