Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-08-24,18:00 (11:00),Parma,0.4,0–1,1.3,Juventus,20073,Stadio Ennio Tardini,Fabio Maresca,Match Report,
1,Sat,2019-08-24,20:45 (13:45),Fiorentina,1.7,3–4,2.1,Napoli,33614,Stadio Artemio Franchi,Davide Massa,Match Report,
1,Sun,2019-08-25,18:00 (11:00),Udinese,1.0,1–0,0.6,Milan,24584,Dacia Arena,Fabrizio Pasqua,Match Report,
1,Sun,2019-08-25,20:45 (13:45),SPAL,1.7,2–3,1.6,Atalanta,11706,Stadio Paolo Mazza,Gianluca Manganiello,Match Report,
1,Sun,2019-08-25,20:45 (13:45),Torino,1.2,2–1,1.6,Sassuolo,16536,Stadio Olimpico di Torino,Maurizio Mariani,Match Report,
1,Sun,2019-08-25,20:45 (13:45),Roma,1.9,3–3,1.2,Genoa,38779,Stadio Olimpico,Giampaolo Calvarese,Match Report,
1,Sun,2019-08-25,20:45 (13:45),Cagliari,1.0,0–1,1.6,Brescia,16099,Sardegna Arena,Eugenio Abbattista,Match Report,
1,Sun,2019-08-25,20:45 (13:45),Hellas Verona,0.1,1–1,1.5,Bologna,16324,Stadio Marc'Antonio Bentegodi,Antonio Giua,Match Report,
1,Sun,2019-08-25,20:45 (13:45),Sampdoria,0.7,0–3,2.3,Lazio,19500,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Match Report,
1,Mon,2019-08-26,20:45 (13:45),Inter,1.7,4–0,0.7,Lecce,64188,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
,,,,,,,,,,,,,
2,Fri,2019-08-30,20:45 (13:45),Bologna,3.0,1–0,0.8,SPAL,25086,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,
2,Sat,2019-08-31,18:00 (11:00),Milan,1.5,1–0,0.7,Brescia,56691,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,
2,Sat,2019-08-31,20:45 (13:45),Juventus,1.6,4–3,1.3,Napoli,39203,Allianz Stadium,Daniele Orsato,Match Report,
2,Sun,2019-09-01,18:00 (11:00),Lazio,1.9,1–1,1.3,Roma,52000,Stadio Olimpico,Marco Guida,Match Report,
2,Sun,2019-09-01,20:45 (13:45),Atalanta,2.0,2–3,1.2,Torino,8182,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Match Report,
2,Sun,2019-09-01,20:45 (13:45),Cagliari,0.4,1–2,1.6,Inter,16412,Sardegna Arena,Fabio Maresca,Match Report,
2,Sun,2019-09-01,20:45 (13:45),Genoa,2.1,2–1,2.0,Fiorentina,20000,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,
2,Sun,2019-09-01,20:45 (13:45),Sassuolo,1.7,4–1,1.4,Sampdoria,9608,Mapei Stadium - Città del Tricolore,Luca Pairetto,Match Report,
2,Sun,2019-09-01,20:45 (13:45),Lecce,1.2,0–1,1.5,Hellas Verona,24418,Stadio Comunale Via Del Mare,Juan Sacchi,Match Report,
2,Sun,2019-09-01,20:45 (13:45),Udinese,1.5,1–3,0.6,Parma,20410,Dacia Arena,Marco Piccinini,Match Report,
,,,,,,,,,,,,,
3,Sat,2019-09-14,15:00 (08:00),Fiorentina,1.5,0–0,0.3,Juventus,40000,Stadio Artemio Franchi,Massimiliano Irrati,Match Report,
3,Sat,2019-09-14,18:00 (11:00),Napoli,1.3,2–0,1.7,Sampdoria,40000,Stadio San Paolo,Federico La Penna,Match Report,
