Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-08-24,21:00 (14:00),Brescia,1–1,Perugia,6500,Stadio Mario Rigamonti,Ivan Pezzuto,Match Report,
Regular Season,1,Sat,2018-08-25,18:00 (11:00),Cremonese,1–1,Pescara,6226,Stadio Giovanni Zin,Riccardo Ros,Match Report,
Regular Season,1,Sat,2018-08-25,18:00 (11:00),Salernitana,0–0,Palermo,12979,Stadio Arechi,Eugenio Abbattista,Match Report,
Regular Season,1,Sat,2018-08-25,18:00 (11:00),Venezia,1–0,Spezia,2181,Stadio Pierluigi Penzo,Luigi Pillitteri,Match Report,
Regular Season,1,Sun,2018-08-26,18:00 (11:00),Hellas Verona,1–1,Padova,13503,Stadio Marc'Antonio Bentegodi,Francesco Fourneau,Match Report,
Regular Season,1,Sun,2018-08-26,21:00 (14:00),Cittadella,3–0,Crotone,2892,Stadio Sandro Cabassi,Niccolò Baroni,Match Report,
Regular Season,1,Sun,2018-08-26,21:00 (14:00),Ascoli,1–1,Cosenza,5852,Stadio Cino e Lillo Del Duca,Manuel Volpi,Match Report,
Regular Season,1,Sun,2018-08-26,21:00 (14:00),Foggia,4–2,Carpi,10753,Stadio Comunale Pino Zaccheria,Federico Dionisi,Match Report,
Regular Season,1,Mon,2018-08-27,21:00 (14:00),Benevento,3–3,Lecce,11307,Stadio Ciro Vigorito,Juan Sacchi,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2018-08-31,21:00 (14:00),Palermo,2–2,Cremonese,5779,Stadio Renzo Barbera,Luigi Nasca,Match Report,
Regular Season,2,Sat,2018-09-01,18:00 (11:00),Spezia,3–2,Brescia,5105,Stadio Alberto Picco,Luca Massimi,Match Report,
Regular Season,2,Sat,2018-09-01,18:00 (11:00),Cosenza,0–3,Hellas Verona,,Stadio San Vito,Fabio Piscopo,Match Report,Match awarded to Hellas Verona
Regular Season,2,Sat,2018-09-01,18:00 (11:00),Carpi,0–1,Cittadella,1500,Stadio Sandro Cabassi,Lorenzo Illuzzi,Match Report,
Regular Season,2,Sat,2018-09-01,18:00 (11:00),Padova,1–0,Venezia,8696,Stadio Comunale Euganeo,Davide Ghersini,Match Report,
Regular Season,2,Sun,2018-09-02,18:00 (11:00),Pescara,2–1,Livorno,5956,Stadio Adriatico-Giovanni Cornacchia,Lorenzo Maggioni,Match Report,
Regular Season,2,Sun,2018-09-02,21:00 (14:00),Crotone,4–1,Foggia,5711,Stadio Ezio Scida,Daniele Minelli,Match Report,
Regular Season,2,Sun,2018-09-02,21:00 (14:00),Lecce,2–2,Salernitana,12675,Stadio Comunale Via Del Mare,Antonio Di Martino,Match Report,
Regular Season,2,Sun,2018-09-02,21:00 (14:00),Perugia,2–0,Ascoli,8681,Stadio Renato Curi,Francesco Guccini,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2018-09-14,21:00 (14:00),Venezia,2–3,Benevento,3529,Stadio Pierluigi Penzo,Gianluca Aureliano,Match Report,
Regular Season,3,Sat,2018-09-15,15:00 (08:00),Ascoli,1–0,Lecce,6403,Stadio Cino e Lillo Del Duca,Antonio Rapuano,Match Report,
Regular Season,3,Sat,2018-09-15,15:00 (08:00),Cittadella,2–0,Cosenza,3855,Stadio Pier Cesare Tombolato,Valerio Marini,Match Report,
Regular Season,3,Sat,2018-09-15,15:00 (08:00),Brescia,1–1,Pescara,6000,Stadio Mario Rigamonti,Marco Serra,Match Report,
Regular Season,3,Sat,2018-09-15,18:00 (11:00),Cremonese,2–0,Spezia,7036,Stadio Giovanni Zin,Antonio Giua,Match Report,
Regular Season,3,Sun,2018-09-16,15:00 (08:00),Hellas Verona,4–1,Carpi,9966,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,
Regular Season,3,Sun,2018-09-16,15:00 (08:00),Salernitana,3–0,Padova,9763,Stadio Arechi,Aleandro Di Paolo,Match Report,
Regular Season,3,Sun,2018-09-16,21:00 (14:00),Foggia,1–2,Palermo,10778,Stadio Comunale Pino Zaccheria,Livio Marinelli,Match Report,
Regular Season,3,Mon,2018-09-17,21:00 (14:00),Livorno,0–1,Crotone,6339,Stadio Armando Picchi,Marco Piccinini,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2018-09-21,21:00 (14:00),Benevento,4–0,Salernitana,13622,Stadio Ciro Vigorito,Ivan Pezzuto,Match Report,
Regular Season,4,Sat,2018-09-22,15:00 (08:00),Spezia,1–0,Cittadella,4902,Stadio Alberto Picco,Lorenzo Maggioni,Match Report,
Regular Season,4,Sat,2018-09-22,15:00 (08:00),Crotone,1–2,Hellas Verona,5653,Stadio Ezio Scida,Juan Sacchi,Match Report,
Regular Season,4,Sat,2018-09-22,15:00 (08:00),Palermo,4–1,Perugia,5313,Stadio Renzo Barbera,Francesco Fourneau,Match Report,
Regular Season,4,Sat,2018-09-22,15:00 (08:00),Lecce,2–1,Venezia,9326,Stadio Comunale Via Del Mare,Niccolò Baroni,Match Report,
Regular Season,4,Sat,2018-09-22,15:00 (08:00),Carpi,1–1,Brescia,2691,Stadio Sandro Cabassi,Fabio Piscopo,Match Report,
Regular Season,4,Sat,2018-09-22,15:00 (08:00),Pescara,1–0,Foggia,7240,Stadio Adriatico-Giovanni Cornacchia,Luigi Pillitteri,Match Report,
Regular Season,4,Sat,2018-09-22,18:00 (11:00),Cosenza,1–1,Livorno,9500,Stadio San Vito,Riccardo Ros,Match Report,
Regular Season,4,Sun,2018-09-23,21:00 (14:00),Padova,1–1,Cremonese,6946,Stadio Comunale Euganeo,Eugenio Abbattista,Match Report,
,,,,,,,,,,,,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Livorno,0–3,Lecce,5768,Stadio Armando Picchi,Francesco Guccini,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Salernitana,1–1,Ascoli,8164,Stadio Arechi,Lorenzo Illuzzi,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Cittadella,0–1,Benevento,3791,Stadio Pier Cesare Tombolato,Daniele Minelli,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Pescara,2–1,Crotone,6211,Stadio Adriatico-Giovanni Cornacchia,Luigi Nasca,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Brescia,2–1,Palermo,6103,Stadio Mario Rigamonti,Marco Piccinini,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Hellas Verona,2–1,Spezia,9914,Stadio Marc'Antonio Bentegodi,Valerio Marini,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Perugia,0–1,Carpi,7349,Stadio Renato Curi,Antonio Rapuano,Match Report,
Regular Season,5,Wed,2018-09-26,19:00 (12:00),Cremonese,2–0,Cosenza,6663,Stadio Giovanni Zin,Luca Massimi,Match Report,
Regular Season,5,Wed,2018-09-26,21:00 (14:00),Foggia,2–1,Padova,9173,Stadio Comunale Pino Zaccheria,Antonio Di Martino,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2018-09-28,21:00 (14:00),Crotone,2–2,Brescia,5191,Stadio Ezio Scida,Livio Marinelli,Match Report,
Regular Season,6,Sat,2018-09-29,15:00 (08:00),Lecce,1–1,Cittadella,9278,Stadio Comunale Via Del Mare,Antonio Giua,Match Report,
Regular Season,6,Sat,2018-09-29,15:00 (08:00),Salernitana,1–0,Hellas Verona,10513,Stadio Arechi,Gianluca Aureliano,Match Report,
Regular Season,6,Sat,2018-09-29,15:00 (08:00),Spezia,2–1,Carpi,4845,Stadio Alberto Picco,Marco Serra,Match Report,
Regular Season,6,Sat,2018-09-29,18:00 (11:00),Venezia,1–1,Livorno,2919,Stadio Pierluigi Penzo,Fabio Piscopo,Match Report,
Regular Season,6,Sun,2018-09-30,15:00 (08:00),Ascoli,0–0,Cremonese,5700,Stadio Cino e Lillo Del Duca,Ivan Pezzuto,Match Report,
Regular Season,6,Sun,2018-09-30,15:00 (08:00),Cosenza,1–1,Perugia,6671,Stadio San Vito,Federico Dionisi,Match Report,
Regular Season,6,Sun,2018-09-30,21:00 (14:00),Benevento,1–3,Foggia,12910,Stadio Ciro Vigorito,Riccardo Ros,Match Report,
Regular Season,6,Tue,2018-10-02,17:30 (10:30),Padova,2–2,Pescara,6795,Stadio Comunale Euganeo,Manuel Volpi,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2018-10-05,21:00 (14:00),Hellas Verona,0–2,Lecce,11993,Stadio Marc'Antonio Bentegodi,Luca Massimi,Match Report,
Regular Season,7,Sat,2018-10-06,15:00 (08:00),Carpi,1–1,Cosenza,2090,Stadio Sandro Cabassi,Luigi Pillitteri,Match Report,
Regular Season,7,Sat,2018-10-06,15:00 (08:00),Pescara,2–1,Benevento,8074,Stadio Adriatico-Giovanni Cornacchia,Niccolò Baroni,Match Report,
Regular Season,7,Sat,2018-10-06,15:00 (08:00),Cremonese,0–0,Salernitana,7629,Stadio Giovanni Zin,Francesco Guccini,Match Report,
