Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-23,21:00 (14:00),AC Pisa,0–0,Benevento,8521,Arena Garibaldi - Stadio Romeo Anconetan...,Francesco Fourneau,Match Report,
1,Sat,2019-08-24,18:00 (11:00),Salernitana,3–1,Pescara,8931,Stadio Arechi,Antonio Rapuano,Match Report,
1,Sat,2019-08-24,18:00 (11:00),Crotone,0–0,Cosenza,10547,Stadio Ezio Scida,Livio Marinelli,Match Report,
1,Sat,2019-08-24,21:00 (14:00),Virtus Entella,1–0,Livorno,2853,Stadio Comunale Chiavari,Daniel Amabile,Match Report,
1,Sat,2019-08-24,21:00 (14:00),Venezia,1–2,Cremonese,3241,Stadio Pierluigi Penzo,Federico Dionisi,Match Report,
1,Sat,2019-08-24,21:00 (14:00),Cittadella,0–3,Spezia,3708,Stadio Pier Cesare Tombolato,Juan Sacchi,Match Report,
1,Sat,2019-08-24,21:00 (14:00),Ascoli,3–1,Trapani,6659,Stadio Cino e Lillo Del Duca,Alessandro Prontera,Match Report,
1,Sun,2019-08-25,18:00 (11:00),Empoli,2–1,Juve Stabia,5389,Stadio Carlo Castellani,Luca Massimi,Match Report,
1,Sun,2019-08-25,21:00 (14:00),Perugia,2–1,Chievo,7840,Stadio Renato Curi,Ivan Pezzuto,Match Report,
1,Mon,2019-08-26,21:00 (14:00),Pordenone,3–0,Frosinone,3470,Dacia Arena,Simone Sozza,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-30,21:00 (14:00),Chievo,1–1,Empoli,3500,Stadio Marc'Antonio Bentegodi,Davide Ghersini,Match Report,
2,Sat,2019-08-31,18:00 (11:00),Benevento,4–1,Cittadella,9284,Stadio Ciro Vigorito,Gianluca Aureliano,Match Report,
2,Sat,2019-08-31,18:00 (11:00),Spezia,1–2,Crotone,5228,Stadio Alberto Picco,Manuel Volpi,Match Report,
2,Sat,2019-08-31,21:00 (14:00),Trapani,0–1,Venezia,4851,Stadio Polisportivo Provinciale,Giacomo Camplone,Match Report,
2,Sat,2019-08-31,21:00 (14:00),Livorno,0–1,Perugia,4922,Stadio Armando Picchi,Valerio Marini,Match Report,
2,Sat,2019-08-31,21:00 (14:00),Cremonese,0–1,Virtus Entella,6744,Stadio Giovanni Zin,Niccolò Baroni,Match Report,
2,Sat,2019-08-31,21:00 (14:00),Cosenza,0–1,Salernitana,9964,Stadio San Vito,Daniele Minelli,Match Report,
2,Sun,2019-09-01,18:00 (11:00),Pescara,4–2,Pordenone,5942,Stadio Adriatico-Giovanni Cornacchia,Giovanni Ayroldi,Match Report,
2,Sun,2019-09-01,18:00 (11:00),Juve Stabia,0–2,AC Pisa,3900,Stadio Comunale Romeo Menti,Marco Serra,Match Report,
2,Sun,2019-09-01,21:00 (14:00),Frosinone,2–1,Ascoli,10712,Stadio Benito Stirpe,Antonio Di Martino,Match Report,
,,,,,,,,,,,
3,Fri,2019-09-13,21:00 (14:00),Pordenone,1–0,Spezia,3175,Dacia Arena,Ivan Robilotta,Match Report,
3,Sat,2019-09-14,15:00 (08:00),Cittadella,2–0,Trapani,3797,Stadio Pier Cesare Tombolato,Francesco Fourneau,Match Report,
3,Sat,2019-09-14,15:00 (08:00),Perugia,0–0,Juve Stabia,8522,Stadio Renato Curi,Alessandro Prontera,Match Report,
3,Sat,2019-09-14,15:00 (08:00),Virtus Entella,1–0,Frosinone,1830,Stadio Comunale Chiavari,Lorenzo Maggioni,Match Report,
3,Sat,2019-09-14,15:00 (08:00),Ascoli,2–0,Livorno,6782,Stadio Cino e Lillo Del Duca,Antonio Rapuano,Match Report,
