Date,Home,Away,Home Score,Away Score
08/24/19,Parma,Juventus,0,1
08/24/19,Fiorentina,Napoli,3,4
08/25/19,Udinese,Milan,1,0
08/25/19,Cagliari,Brescia,0,1
08/25/19,SPAL,Atalanta,2,3
08/25/19,Roma,Genoa,3,3
08/25/19,Verona,Bologna,1,1
08/25/19,Sampdoria,Lazio,0,3
08/25/19,Torino,Sassuolo,2,1
08/26/19,Inter Milan,Lecce,4,0
08/30/19,Bologna,SPAL,1,0
08/31/19,Milan,Brescia,1,0
08/31/19,Juventus,Napoli,4,3
09/01/19,Lazio,Roma,1,1
09/01/19,Cagliari,Inter Milan,1,2
09/01/19,Atalanta,Torino,2,3
09/01/19,Genoa,Fiorentina,2,1
09/01/19,Udinese,Parma,1,3
09/01/19,Lecce,Verona,0,1
09/01/19,Sassuolo,Sampdoria,4,1
09/14/19,Fiorentina,Juventus,0,0
09/14/19,Napoli,Sampdoria,2,0
09/14/19,Inter Milan,Udinese,1,0
09/15/19,Genoa,Atalanta,1,2
09/15/19,SPAL,Lazio,2,1
09/15/19,Brescia,Bologna,3,4
09/15/19,Parma,Cagliari,1,3
09/15/19,Roma,Sassuolo,4,2
09/15/19,Verona,Milan,0,1
09/16/19,Torino,Lecce,1,2
09/20/19,Cagliari,Genoa,3,1
09/21/19,Udinese,Brescia,0,1
09/21/19,Juventus,Verona,2,1
09/21/19,Milan,Inter Milan,0,2
09/22/19,Sassuolo,SPAL,3,0
09/22/19,Sampdoria,Torino,1,0
09/22/19,Lecce,Napoli,1,4
09/22/19,Bologna,Roma,1,2
09/22/19,Atalanta,Fiorentina,2,2
09/22/19,Lazio,Parma,2,0
09/24/19,Verona,Udinese,0,0
09/24/19,Brescia,Juventus,1,2
09/25/19,Roma,Atalanta,0,2
09/25/19,SPAL,Lecce,1,3
09/25/19,Napoli,Cagliari,0,1
09/25/19,Genoa,Bologna,0,0
09/25/19,Fiorentina,Sampdoria,2,1
09/25/19,Parma,Sassuolo,1,0
09/25/19,Inter Milan,Lazio,1,0
09/26/19,Torino,Milan,2,1
09/28/19,Juventus,SPAL,2,0
09/28/19,Sampdoria,Inter Milan,1,3
09/28/19,Sassuolo,Atalanta,1,4
09/29/19,Napoli,Brescia,2,1
09/29/19,Lazio,Genoa,4,0
09/29/19,Udinese,Bologna,1,0
09/29/19,Lecce,Roma,0,1
09/29/19,Cagliari,Verona,1,1
09/29/19,Milan,Fiorentina,1,3
09/30/19,Parma,Torino,3,2
10/05/19,SPAL,Parma,1,0
10/05/19,Verona,Sampdoria,2,0
10/05/19,Genoa,Milan,1,2
10/06/19,Fiorentina,Udinese,1,0
10/06/19,Atalanta,Lecce,3,1
10/06/19,Roma,Cagliari,1,1
10/06/19,Bologna,Lazio,2,2
10/06/19,Torino,Napoli,0,0
10/06/19,Inter Milan,Juventus,1,2
10/19/19,Lazio,Atalanta,3,3
10/19/19,Napoli,Verona,2,0
10/19/19,Juventus,Bologna,2,1
10/20/19,Sassuolo,Inter Milan,3,4
10/20/19,Udinese,Torino,1,0
10/20/19,Sampdoria,Roma,0,0
10/20/19,Cagliari,SPAL,2,0
10/20/19,Parma,Genoa,5,1
10/20/19,Milan,Lecce,2,2
10/21/19,Brescia,Fiorentina,0,0
10/25/19,Verona,Sassuolo,0,1
10/26/19,Lecce,Juventus,1,1
10/26/19,Inter Milan,Parma,2,2
10/26/19,Genoa,Brescia,3,1
10/27/19,Bologna,Sampdoria,2,1
10/27/19,SPAL,Napoli,1,1
10/27/19,Torino,Cagliari,1,1
10/27/19,Atalanta,Udinese,7,1
10/27/19,Roma,Milan,2,1
10/27/19,Fiorentina,Lazio,1,2
10/29/19,Parma,Verona,0,1
10/29/19,Brescia,Inter Milan,1,2
10/30/19,Napoli,Atalanta,2,2
10/30/19,Sassuolo,Fiorentina,1,2
10/30/19,Sampdoria,Lecce,1,1
10/30/19,Udinese,Roma,0,4
10/30/19,Cagliari,Bologna,3,2
10/30/19,Juventus,Genoa,2,1
10/30/19,Lazio,Torino,4,0
10/31/19,Milan,SPAL,1,0
11/02/19,Roma,Napoli,2,1
11/02/19,Bologna,Inter Milan,1,2
11/02/19,Torino,Juventus,0,1
11/03/19,Atalanta,Cagliari,0,2
11/03/19,Genoa,Udinese,1,3
11/03/19,Verona,Brescia,2,1
11/03/19,Lecce,Sassuolo,2,2
11/03/19,Fiorentina,Parma,1,1
11/03/19,Milan,Lazio,1,2
11/04/19,SPAL,Sampdoria,0,1
11/08/19,Sassuolo,Bologna,3,1
11/09/19,Brescia,Torino,0,4
11/09/19,Inter Milan,Verona,2,1
11/09/19,Napoli,Genoa,0,0
11/10/19,Cagliari,Fiorentina,5,2
11/10/19,Udinese,SPAL,0,0
11/10/19,Sampdoria,Atalanta,0,0
11/10/19,Lazio,Lecce,4,2
11/10/19,Parma,Roma,2,0
11/10/19,Juventus,Milan,1,0
11/23/19,Atalanta,Juventus,1,3
11/23/19,Milan,Napoli,1,1
11/23/19,Torino,Inter Milan,0,3
11/24/19,Bologna,Parma,2,2
11/24/19,Sassuolo,Lazio,1,2
11/24/19,Roma,Brescia,3,0
11/24/19,Verona,Fiorentina,1,0
11/24/19,Sampdoria,Udinese,2,1
11/25/19,Lecce,Cagliari,2,2
11/25/19,SPAL,Genoa,1,1
11/30/19,Brescia,Atalanta,0,3
11/30/19,Genoa,Torino,0,1
11/30/19,Fiorentina,Lecce,0,1
12/01/19,Juventus,Sassuolo,2,2
12/01/19,Lazio,Udinese,3,0
12/01/19,Inter Milan,SPAL,2,1
12/01/19,Parma,Milan,0,1
12/01/19,Napoli,Bologna,1,2
12/01/19,Verona,Roma,1,3
12/02/19,Cagliari,Sampdoria,4,3
12/06/19,Inter Milan,Roma,0,0
12/07/19,Atalanta,Verona,3,2
12/07/19,Udinese,Napoli,1,1
12/07/19,Lazio,Juventus,3,1
