Date,Home,Away,Home Score,Away Score
08/17/19,Bayern Munich,Hertha BSC,2,2
08/17/19,Freiburg,Mainz,3,0
08/17/19,Dortmund,Augsburg,5,1
08/17/19,Wolfsburg,Koln,2,1
08/17/19,Bayer Leverkusen,Paderborn,3,2
08/17/19,Werder Bremen,Fortuna Dusseldorf,1,3
08/07/19,Monchengladbach,Schalke,0,0
08/18/19,Eintracht Frankfurt,Hoffenheim,1,0
08/18/19,Union Berlin,RB Leipzig,0,4
08/23/19,Koln,Dortmund,1,3
08/24/19,Hoffenheim,Werder Bremen,3,2
08/24/19,Mainz,Monchengladbach,1,3
08/24/19,Paderborn,Freiburg,1,3
08/24/19,Augsburg,Union Berlin,1,1
08/24/19,Fortuna Dusseldorf,Bayer Leverkusen,1,3
08/24/19,Schalke,Bayern Munich,0,3
08/25/19,RB Leipzig,Eintracht Frankfurt,2,1
08/25/19,Hertha BSC,Wolfsburg,0,3
08/30/19,Monchengladbach,RB Leipzig,1,3
08/31/19,Bayer Leverkusen,Hoffenheim,0,0
08/31/19,Schalke,Hertha BSC,3,0
08/31/19,Wolfsburg,Paderborn,1,1
08/31/19,Freiburg,Koln,1,2
08/31/19,Bayern Munich,Mainz,6,1
08/31/19,Union Berlin,Dortmund,3,1
09/01/19,Werder Bremen,Augsburg,3,2
09/01/19,Eintracht Frankfurt,Fortuna Dusseldorf,2,1
09/13/19,Fortuna Dusseldorf,Wolfsburg,1,1
09/14/19,Koln,Monchengladbach,0,1
09/14/19,Dortmund,Bayer Leverkusen,4,0
09/14/19,Mainz,Hertha BSC,2,1
09/14/19,Union Berlin,Werder Bremen,1,2
09/14/19,Augsburg,Eintracht Frankfurt,2,1
09/14/19,RB Leipzig,Bayern Munich,1,1
09/15/19,Hoffenheim,Freiburg,0,3
09/15/19,Paderborn,Schalke,1,5
09/20/19,Schalke,Mainz,2,1
09/21/19,Hertha BSC,Paderborn,2,1
09/21/19,Bayern Munich,Koln,4,0
09/21/19,Freiburg,Augsburg,1,1
09/21/19,Bayer Leverkusen,Union Berlin,2,0
09/21/19,Werder Bremen,RB Leipzig,0,3
09/22/19,Monchengladbach,Fortuna Dusseldorf,2,1
09/22/19,Eintracht Frankfurt,Dortmund,2,2
09/23/19,Wolfsburg,Hoffenheim,1,1
09/27/19,Union Berlin,Eintracht Frankfurt,1,2
09/28/19,Hoffenheim,Monchengladbach,0,3
09/28/19,Mainz,Wolfsburg,0,1
09/28/19,Augsburg,Bayer Leverkusen,0,3
09/28/19,Paderborn,Bayern Munich,2,3
09/28/19,RB Leipzig,Schalke,1,3
09/28/19,Dortmund,Werder Bremen,2,2
09/29/19,Fortuna Dusseldorf,Freiburg,1,2
09/29/19,Koln,Hertha BSC,0,4
10/04/19,Hertha BSC,Fortuna Dusseldorf,3,1
10/05/19,Paderborn,Mainz,1,2
10/05/19,Bayer Leverkusen,RB Leipzig,1,1
10/05/19,Freiburg,Dortmund,2,2
10/05/19,Bayern Munich,Hoffenheim,1,2
10/05/19,Schalke,Koln,1,1
10/06/19,Monchengladbach,Augsburg,5,1
10/06/19,Wolfsburg,Union Berlin,1,0
10/06/19,Eintracht Frankfurt,Werder Bremen,2,2
10/18/19,Eintracht Frankfurt,Bayer Leverkusen,3,0
10/19/19,Union Berlin,Freiburg,2,0
10/19/19,Augsburg,Bayern Munich,2,2
10/19/19,Werder Bremen,Hertha BSC,1,1
10/19/19,RB Leipzig,Wolfsburg,1,1
10/19/19,Fortuna Dusseldorf,Mainz,1,0
10/19/19,Dortmund,Monchengladbach,1,0
10/20/19,Koln,Paderborn,3,0
10/20/19,Hoffenheim,Schalke,2,0
10/25/19,Mainz,Koln,3,1
10/26/19,Paderborn,Fortuna Dusseldorf,2,0
10/26/19,Hertha BSC,Hoffenheim,2,3
10/26/19,Schalke,Dortmund,0,0
10/26/19,Bayern Munich,Union Berlin,2,1
10/26/19,Freiburg,RB Leipzig,2,1
10/26/19,Bayer Leverkusen,Werder Bremen,2,2
10/27/19,Wolfsburg,Augsburg,0,0
10/27/19,Monchengladbach,Eintracht Frankfurt,4,2
11/01/19,Hoffenheim,Paderborn,3,0
11/02/19,Bayer Leverkusen,Monchengladbach,1,2
11/02/19,Werder Bremen,Freiburg,2,2
11/02/19,Eintracht Frankfurt,Bayern Munich,5,1
11/02/19,RB Leipzig,Mainz,8,0
11/02/19,Dortmund,Wolfsburg,3,0
11/02/19,Union Berlin,Hertha BSC,1,0
11/03/19,Fortuna Dusseldorf,Koln,2,0
11/03/19,Augsburg,Schalke,2,3
11/08/19,Koln,Hoffenheim,1,2
11/09/19,Hertha BSC,RB Leipzig,2,4
11/09/19,Schalke,Fortuna Dusseldorf,3,3
11/09/19,Mainz,Union Berlin,2,3
11/09/19,Paderborn,Augsburg,0,1
11/09/19,Bayern Munich,Dortmund,4,0
11/10/19,Monchengladbach,Werder Bremen,3,1
11/10/19,Wolfsburg,Bayer Leverkusen,0,2
11/10/19,Freiburg,Eintracht Frankfurt,1,0
11/22/19,Dortmund,Paderborn,3,3
11/23/19,Bayer Leverkusen,Freiburg,1,1
11/23/19,Werder Bremen,Schalke,1,2
11/23/19,Union Berlin,Monchengladbach,2,0
11/23/19,Eintracht Frankfurt,Wolfsburg,0,2
11/23/19,Fortuna Dusseldorf,Bayern Munich,0,4
11/23/19,RB Leipzig,Koln,4,1
11/24/19,Augsburg,Hertha BSC,4,0
11/24/19,Hoffenheim,Mainz,1,5
11/29/19,Schalke,Union Berlin,2,1
11/30/19,Hoffenheim,Fortuna Dusseldorf,1,1
11/30/19,Hertha BSC,Dortmund,1,2
11/30/19,Koln,Augsburg,1,1
11/30/19,Paderborn,RB Leipzig,2,3
11/30/19,Bayern Munich,Bayer Leverkusen,1,2
12/01/19,Monchengladbach,Freiburg,4,2
12/01/19,Wolfsburg,Werder Bremen,2,3
12/02/19,Mainz,Eintracht Frankfurt,2,1
12/06/19,Eintracht Frankfurt,Hertha BSC,2,2
12/07/19,Monchengladbach,Bayern Munich,2,1
12/07/19,RB Leipzig,Hoffenheim,3,1
12/07/19,Dortmund,Fortuna Dusseldorf,5,0
12/07/19,Augsburg,Mainz,2,1
12/07/19,Freiburg,Wolfsburg,1,0
12/07/19,Bayer Leverkusen,Schalke,2,1
12/07/19,Union Berlin,Koln,2,0
