Date,Home,Away,Home Score,Away Score
08/16/19,Athletic Bilbao,Barcelona,1,0
08/17/19,Celta Vigo,Real Madrid,1,3
08/17/19,Valencia,Real Sociedad,1,1
08/17/19,Mallorca,Eibar,2,1
08/17/19,Leganes,Osasuna,0,1
08/17/19,Villareal,Granada,4,4
08/18/19,Alaves,Levante,1,0
08/18/19,Espanyol,Sevilla,0,2
08/18/19,Real Betis,Valladolid,1,2
08/18/19,Atletico Madrid,Getafe,1,0
08/23/19,Granada,Sevilla,0,1
08/23/19,Levante,Villareal,2,1
08/24/19,Osasuna,Eibar,0,0
08/24/19,Real Madrid,Valladolid,1,1
08/24/19,Celta Vigo,Valencia,1,0
08/24/19,Getafe,Athletic Bilbao,1,1
08/25/19,Alaves,Espanyol,0,0
08/25/19,Mallorca,Real Sociedad,0,1
08/25/19,Leganes,Atletico Madrid,0,1
08/25/19,Barcelona,Real Betis,5,2
08/30/19,Sevilla,Celta Vigo,1,1
08/30/19,Athletic Bilbao,Real Sociedad,2,0
08/31/19,Osasuna,Barcelona,2,2
08/31/19,Levante,Valladolid,2,0
08/31/19,Getafe,Alaves,1,1
08/31/19,Real Betis,Leganes,2,1
09/01/19,Valencia,Mallorca,2,0
09/01/19,Espanyol,Granada,0,3
09/01/19,Atletico Madrid,Eibar,3,2
09/01/19,Villareal,Real Madrid,2,2
09/13/19,Mallorca,Athletic Bilbao,0,0
09/14/19,Real Madrid,Levante,3,2
09/14/19,Leganes,Villareal,0,3
09/14/19,Real Sociedad,Atletico Madrid,2,0
09/14/19,Barcelona,Valencia,5,2
09/15/19,Eibar,Espanyol,1,2
09/15/19,Alaves,Sevilla,0,1
09/15/19,Celta Vigo,Granada,0,2
09/15/19,Valladolid,Osasuna,1,1
09/15/19,Real Betis,Getafe,1,1
09/20/19,Osasuna,Real Betis,0,0
09/21/19,Villareal,Valladolid,2,0
09/21/19,Levante,Eibar,0,0
09/21/19,Atletico Madrid,Celta Vigo,0,0
09/21/19,Granada,Barcelona,2,0
09/22/19,Getafe,Mallorca,4,2
09/22/19,Espanyol,Real Sociedad,1,3
09/22/19,Valencia,Leganes,1,1
09/22/19,Athletic Bilbao,Alaves,2,0
09/22/19,Sevilla,Real Madrid,0,1
09/24/19,Valladolid,Granada,1,1
09/24/19,Real Betis,Levante,3,1
09/24/19,Barcelona,Villareal,2,1
09/25/19,Mallorca,Atletico Madrid,0,2
09/25/19,Leganes,Athletic Bilbao,1,1
09/25/19,Valencia,Getafe,3,3
09/25/19,Real Madrid,Osasuna,2,0
09/26/19,Eibar,Sevilla,3,2
09/26/19,Celta Vigo,Espanyol,1,1
09/26/19,Real Sociedad,Alaves,3,0
09/27/19,Villareal,Real Betis,5,1
09/28/19,Athletic Bilbao,Valencia,0,1
09/28/19,Getafe,Barcelona,0,2
09/28/19,Granada,Leganes,1,0
09/28/19,Atletico Madrid,Real Madrid,0,0
09/29/19,Espanyol,Valladolid,0,2
09/29/19,Eibar,Celta Vigo,2,0
09/29/19,Alaves,Mallorca,2,0
09/29/19,Levante,Osasuna,1,1
09/29/19,Sevilla,Real Sociedad,3,2
10/04/19,Real Betis,Eibar,1,1
10/05/19,Leganes,Levante,1,2
10/06/19,Real Madrid,Granada,4,2
10/05/19,Valencia,Alaves,2,1
10/05/19,Osasuna,Villareal,2,1
10/06/19,Mallorca,Espanyol,2,0
10/06/19,Celta Vigo,Athletic Bilbao,1,0
10/06/19,Valladolid,Atletico Madrid,0,0
10/06/19,Real Sociedad,Getafe,1,2
10/06/19,Barcelona,Sevilla,4,0
10/18/19,Granada,Osasuna,1,0
10/19/19,Eibar,Barcelona,0,3
10/19/19,Atletico Madrid,Valencia,1,1
10/19/19,Getafe,Leganes,2,0
10/19/19,Mallorca,Real Madrid,1,0
10/20/19,Alaves,Celta Vigo,2,0
10/20/19,Real Sociedad,Real Betis,3,1
10/20/19,Espanyol,Villareal,0,1
10/20/19,Athletic Bilbao,Valladolid,1,1
